SZÉV igény szám,Státusz,Felelős,Igény dátuma,"Á(rajánlat)
R(endelés)",Gépállás,Teljesítés dátuma,Áttárolás / Betárolás száma,Munkaszám,Megrendelő,Géptípus,Beszállító,Igény,Megjegyzés,Mennyiség,Igénylő,
SZÉV2024-001,TRUE,GYE,01.08.,,0,01.08.,,,SZÉV,,,"-Géprongy 
- Féktisztító (kis flakonos) min 10 db
- 10-es kesztyű 10 db
- 11-es kesztyű 10 db
- Öntvény pálca 2 db",,,ZM,
SZÉV2024-002,TRUE,GYE,01.08.,,0,01.08.,,M13167,MAGYARMET KFT.,HT-92DT,,608-2RSH csapágy,4+4 db,,ZM,
SZÉV2024-003,TRUE,GYE,01.08.,,0,01.08.,,M13098,STEELFORG,DK-7732F huzalszikra,,NSK 6004 DU csapágy,4 db,,ZM,
SZÉV2024-004,FALSE,GYE,01.08.,,0,,,,SZÉV,,,"2023 dec.22-én emailben küldött tételek beszerzése. szerszámok
- Knipex (78 03 125) oldalcsípő 2 db",,,ZM,
SZÉV2024-005,TRUE,LOG,01.10.,,0,01.24,,,SZÉV,,,"- O8RC kártya 5db
- DSC-10/20-LE szervóhajtás 2db
- iPS1 tápegység 2 db
iPS2 tápegység 2db",,,ZM,
SZÉV2024-006,TRUE,ERA,01.10.,01.11,0,01.11.,2024/000000009,M05215,ROBOKOV,EPA-320,,Mágneskapcsoló / Schneider LC1-D80P7 mágneskapcsoló (37kW; 1NO; 1NC) 1 db,,,HA,
SZÉV2024-007,TRUE,GYE,01.10.,,1,2024.03.05. VS,,M17169,YONIX TRADE KFT,EmL-800B,,AIRTAC GAFR30010ASG Nyomásszabályozó,1+3 db,Automata leeresztés. A GFR300-10 utódja.,ZM,
SZÉV2024-008,TRUE,LOG,0.11.,,0,01.12,,M18229,GESTAMEN KUTATÁS FEJLESZTÉS ZRT,MM-850,,"- EBI farokkábel 1 db
- EBI jeladó elem 1 db",,Határidő FW 3,ZM,
SZÉV2024-009,TRUE,LOG,01.11.,,1,01.12,,M20101,MST,EMB-1300,,A22-54-20-EH/4096 SERVO MOTOR,1 db,,ZM,
SZÉV2024-010,TRUE,GYE,0.11.,,1,01.16,,M06182,METALCONSTRUCT ZRT,TMV-510T,,Szerszámcserélő relé OMRON MKS3PI-5,3 db,,ZM,
SZÉV2024-011,TRUE,GYE,01.09.,,1,01.11.,,M21201,DRIVETRAIN INNOVATION KFT,VD-510,,SMC AW20-F02H-8 Nyomásszabályozó órával,1 db,,ZM,
SZÉV2024-012,TRUE,LOG,01.17,,0,01.17,,M21118,VKSZ,KAFO-NCT KMC-4127,,HPB VM132M-54-40-15-06,1 db,,ZM,
SZÉV2024-013,TRUE,GYE,01.18.,,0,01.19,,M23111,SZÉV,HG-400,,GANZ KK Főkapcsoló (GK 100),1 db,,ZM,
SZÉV2024-014,TRUE,GYE,01.18,,0,01.19.,2024/000000040,M18236,Jandem,MM-850,,Deublin 1109-020-188 forgóátvezető,,1 db,LR,
SZÉV2024-015,TRUE,GYE,01.19.,,0,2024.03.05. VS,,,SZÉV,,,"- Féktisztító 10 db
- Jégoldó 15 db
- Téli szélvédőmosó 15 db
-10-es kesztyű 5 pár
- 11-es kesztyű 5 pár
- Horgany spray 2 db
- Fekete festék spray matt 2 db
- Kék festék spray (HPB motorok festéséhez) 2 db
- Szürke festék spray matt 2 db
- Fehér szigetelőszalag 5 db
- Knipex (78 03 125) oldalcsípő 2 db",,,ZM,
SZÉV2024-016,TRUE,GYE,01.19,,0,,,M04038,BORELA BT,Euroturn12B,,Főorsó és motor szíjtárcsa pár,10.01.: megoldották máshogyan,,ZM,
SZÉV2024-017,FALSE,IMP,01.19.,,,,,M15003,MODUL-BAKE KFT,BNC-1840,,X tengely motor szíjtárcsa,2 db,"4 db szíjtárcsa, 2 db szíj",ZM,
SZÉV2024-018,TRUE,LOG,01.23,,,01.24,,M18331,HARD-FERR KFT,HT-52,,AiB28 retesz nélküli motor EBI1135 jeladóval,1 db,,ZM,
SZÉV2024-019,TRUE,LOG,01.23.,,,01.24,,M18331,HARD-FERR KFT,HT-52,,EPU-SIS,1 db,,ZM,
SZÉV2024-020,TRUE,LOG,01.24,,,01.24,,,SZÉV,,,"- EBI farokkábel 2 db
- EBI jeladó elem 2 db",,,ZM,
SZÉV2024-021,TRUE,GYE,01.24.,,,01.24,,No.356,APTIV,NCT FMC 250,,"""Y"" golyósorsó méretezése, ellenőrzése, rajz módosítása és gyártás",1 db,TÖRÖLVE,ZM,
SZÉV2024-022,TRUE,Babett,01.24,,,04.09.,,M06182,METALCONSTRUCT ZRT,TMV-850A,,Körasztal alkatrészek javításhoz,,Díjbekérő,ZM,
SZÉV2024-023,FALSE,IMP,01.25.,,0,,,M15218,CSABA METÁL ZRT,KMC-3127,,Tartományváltó ajánlat,,Megrendelték,ZM,
SZÉV2024-024,TRUE,GÉPÉSZ,01.25.,,,,,M23111,BRUNNBAUER,NHMC-400,,"SOS olajhűtő lemezburkolat tervezés, gyártásba adás",,,ZM,
SZÉV2024-025,TRUE,GÉPÉSZ,01.25.,,,,,No.356,APTIV,NCT FMC 250,,"""Y"" golyósorsó visszarajzolás és gyártás",,Szimikronban,ZM,
SZÉV2024-026,TRUE,GYE,01.25.,,,03.22,,M20184,TOBROCO MACHINERY KFT.,HT-76DT,,TBMA-200 VDI40/1/12 revfejhez 10db tájolócsap,10db,,CsZ,
SZÉV2024-027,TRUE,IMP,01.26.,,,04.09.,,M19038,IK METÁL KFT,KAFO KMC-4122,,Jeladó csatlakozót mozgató munkahenger,1 db,,ZM,
SZÉV2024-028,TRUE,LOG,01.26,,,01.26,,M23111,BRUNNBAUER,NHMC-400,,ETPC kártya,1 db,,ZM,
SZÉV2024-029,TRUE,IMP,01.29.,,,05.28.,,M21057,KACZOR GÁBOR EV,MM-760,,vezetékvédő burkolatba lehúzó gumi készlet (harmonika burkolat gumijára ÁA),1 szett,Megrendelték,CsZ,
SZÉV2024-030,TRUE,Babett,01.29,,,03.18,,M10279,MOBILINTER KFT.,"JSL-26AB - Barload-BEG-326-3,2m(11100929)",,"Rúdadagoló - Barload: hajtómű ""4GN100KB""",1db,Megrendelték,CsZ,
SZÉV2024-031,TRUE,GYE,01.29.,,1,01.30,,M11215,FRANK HUNGÁRIA,EmR-1020D,,"10-00028873-00,Tartalék / KO-6PTS / Kompresszor MODEL: 44N086- A6-BCDF",1db,,CsZ,
SZÉV2024-032,TRUE,GYE,01.31,,1,02.02,,M14131,ALBAMETAL,TNL-100AII,,"Egy darab komplett tengelykapcsolóra (Z-tengely) lenne szükség, mert elporladt a betétje.
d1=20 mm (golyósorsó oldal)
d2=19 mm hengeres, reteszhoronnyal (motor oldal)
D=55 mm
L=80 mm
A tengelykapcsoló betétje piros színű és nem találtak gyártói feliratot a tengelykapcsolón.",,,LR,
SZÉV2024-033,TRUE,Babett,02.05.,,,03.18.,,M10336,BÍRÓ KFT,"JSL-32AB- Barload-BFG-326-3,2 m",,Rúdadagoló antivibrációs fésű,1 db,Megrendelték,ZM,
SZÉV2024-034,TRUE,IMP,02.05.,,1,,,M21054,VESZPRÉMI SZAKIPARK NONPROFIT KFT,MXS-400DD-FAD400HS,,Körasztal komplett support axis,1 db,,ZM,
SZÉV2024-035,TRUE,GYE,02.05.,,1,"2024.02.08.
2025.02.11.",,M04030,METAL-99 KFT.,Chiron FZ-16 L,,Seeger fogó készlet (SOS 150-es kellene Taksonyból kölcsön + 2db 10-es menetesszár),Knipex márkájó érkeztt,https://www.szerszamkell.hu/ellient_tools_hosszu_legkulcsfej_e-torx_34_24-es_57983?keyword=seeger%20fogo%20400,CsZ,
SZÉV2024-036,TRUE,IMP,02.06,,0,,,M15218,CSABA METÁL ZRT,KMC-3127,,Főorsó ajánlat (főorsó csapágyak 5db: 5S-7020UADGCS02-1P4),6000f/p,Egyelőre nem kérik.,LR,
SZÉV2024-037,TRUE,GYE,02.07.,,0,,,M07154,LOG VALVE KFT,EML-2000,,"10-00002433-00,Hidraulika / Nyomáskapcsoló gomba 10-20 BAR D=1/4"" (0166-411-03-1-043) olajgomba",2db,,CsZ,
SZÉV2024-038,TRUE,Babett,02.08,,1,,,M12370,GAFOR,HT-52DT,,"TBMA-200 VDI40/1/12 revfej alkatrészek
K56.A200.2141A21.01
11101/2013",,Egyelőre nem kérik.,LR,
SZÉV2024-039,TRUE,Babett,02.12.,,0,,,,METALL-TECHNO,Kondia B-1050,,egy új főorsóra kérnek árajánlatot,,Egyelőre nem kérik.,LR,
SZÉV2024-040,TRUE,IMP,02.12,,1,2025.01.30.,BET2025/00312,M14171,BLÁTHY OTTÓ SZKI,EmL-610B,,"10-00026832-00,Tartalék / Manford / Kenőtáp CESG01",1db,,CsZ,
SZÉV2024-041,TRUE,IMP,02.13,,0,,,M08020,GRIF-TOOLS KFT.,EmL-610,,10-00009151-00 Esernyős szerszámtár rugó (2*8*59*202),50db,Megrendelték,CsZ,
SZÉV2024-042,TRUE,IMP,02.13,,0,2024.06.20.,,M16135,LOKO TRANS,BNC-40120,,Koszlehúzó törlök,"a gép rajzán megjelölt 13, 36, 76., 84, 77, 85",,CsZ,
SZÉV2024-043,FALSE,IMP,02.13.,,0,,,M16107,GRIF-TOOLS KFT.,EmL-1020E,,Y hátsó sleppjére (teleszkópos burkolat) árajánlat,,,CsZ,
SZÉV2024-044,TRUE,GYE,02.15,,1,02.16,,M20005,GYŐRFI JÓZSEF EV,EmL-510,,12db - 30TAC golyósorsó csapágy,,,CsZ,
SZÉV2024-045,TRUE,GYE,02.15.,,1,2024.02.19,,M18343,SL-FORG KFT,EML-1020,,Deublin 902-120-188 forgóátvezető,,,CsZ,
SZÉV2024-046,TRUE,IMP,02.15,,1,2024.12.06.,BET2024/04188,M14248,ELEKTRO-FER-VILL BT.,MM-800,,Főorsószíj 5GT 800-40,,nem kell nekik,CsZ,
SZÉV2024-047,TRUE,GYE,02.15.,,1,02.27,,M06271,NIVELCO ZRT.,EEN-320,,Főorsószíj T5 765-20,,,CsZ,
SZÉV2024-048,TRUE,GYE,02.16,,0,03.04,,,SZÉV,,,"10-es és 11 munkavédelmi kesztyű, 5 db munkavédelmi szemüveg",,,SzÁ,
SZÉV2024-049,TRUE,GYE,02.16.,,0,02.26,,,SZÉV,,,20 db Harting jeladó 12 pólusú betét apa,,,SzÁ,
SZÉV2024-050,TRUE,ERA,02.19,,0,,,,SZÉV,,,"5 db LP1K0901BD, 5db LP1K0910BD, 5 db LP1K1210BD",,,SzÁ,
SZÉV2024-051,TRUE,GYE,02.19,,0,,,,SZÉV,,,Féktisztító spray,,,SzÁ,
SZÉV2024-052,TRUE,GYE,02.20,,0,,,,SZÉV,,,"50 db 16-27-es, 50 db 20-32-es, 20 db 25-40-es bilincs",,,SzÁ,
SZÉV2024-053,TRUE,GYE,02.20.,,0,,,,SZÉV,,,színes gyorskötöző 150-es 10 csomag,,,SzÁ,
SZÉV2024-054,TRUE,ERA,02.20,,0,,,,SZÉV,,,"csúszósaru 4mm széles, 1,5 vezetékhez",,,SzÁ,
SZÉV2024-055,TRUE,ERA,02.21,,0,,,,SZÉV,,,"10 db vészstop gomb, 10 db kék ledes nyomógomb",,,,
SZÉV2024-056,TRUE,GYE,02.21,,1,2024.02.22,,M08290,MST ENGINEERING KFT,EmB-1300,,6db - 30TAC golyósorsó csapágy (X),,,CsZ,
SZÉV2024-057,TRUE,GYE,02.21,,1,,,M11374,TS HUNGÁRIA KFT.,BNC-40120,,6db - 30TAC golyósorsó csapágy,,,CsZ,
SZÉV2024-058,TRUE,IMP,02.22,,0,2024.12.06.,BET2024/04190,M17180,KOÓP 55 KFT,MM-850SV,,"""X"" golyósorsó + csapágyak (pontos típus és db szám)",,,CsZ,
SZÉV2024-059,TRUE,GYE,02.28.,,1,,,M06079,MAGYARMET KFT.,GD-5DT,,"10-10005288-00,Hidraulika / Útváltó szelep NA6 WL4 F 06 P1 E6 Z02400",szegnyereg hüvely mozgató szelep,,CsZ,
SZÉV2024-060,TRUE,GYE,02.28.,,1,,,M23111,BRUNNBAUER BUDAPEST SZERELVÉNYGYÁRTÓ KFT.,HG-400,,Deublin 1100-257-342 forgóátvezető,fotó csatolva,1 db,HA,
SZÉV2024-061,FALSE,IMP,02.28.,,0,,,M10279,MOBILINTER KFT.,JSL-26AB,,"10-00029031-00,Tartalék / JSL-20AB / Megfogó csipesz",3db,,CsZ,
SZÉV2024-062,TRUE,GYE,03.04,,0,2024.03.08.2024.12.06.,BET2024/04185,M20153,ELEKTROMOTOR-ŠIMON DOO.,KAFO SV-1000,,1 db nagynyomású egység nyomásmérő óra,20 db nyomásmérő óra érkeztt,"1 db GYE, 10 db IMP",LR,
SZÉV2024-063,TRUE,GYE,03.04.,,1,2024.06.04.,,M22201,NCT Taksony,MCV 1000,,Főorsó csapágyak: 2db - HS7014-E-T-P4S-UL + 3db HS7015-E-T-P4S-UL,,TH0449,CsZ,
SZÉV2024-064,TRUE,GYE,03.06,,1,03.06,2024/000000168,,Metall-99,Chiron,,"2 db átmérő 11-es acélgolyó a főorsóhoz (átmérő 11,1 mm nem jó)",,,LR,
SZÉV2024-065,TRUE,GYE,03.06,,1,03.08,,,Czetec,HG-400,,3 db tűgörgős csapágy,,,LR,
SZÉV2024-066,TRUE,GYE,03.06,,0,,,M15068,Vilati,TCS-2000,,1 db 1950-11MS 2 pályás szíj,,egyelőre nem kell,LR,
SZÉV2024-067,TRUE,GYE,03.06,,0,,,M14061,S.C.ALU META SISTEM S.R.L.,MM-760,,főorsó rugók - 2készlet (112db-ot kérünk),75db lett elpostázva 03.14-én,"Tányérrugó / S4312 34x16,3x2 mm,10-00012545-00",CsZ,
SZÉV2024-068,TRUE,IMP,03.06,03.06,0,02.11,BET2025/00443,-,SZÉV,CJK-6132,,5 db  CJK-6132 késtartó pozíció jeladó / AGMA,Az utolsó rendelés azonosítója SZÉV2021-0049. Csatolt képek.,,AA,
SZÉV2024-069,TRUE,GYE,03.06,,0,03.20.04.15.,,M16265,S&S CNC FÉMIPARI KFT.,TCS-2500L,,Árajánlat plexire: 520x400x20mm,"1db megjött, megérkezett a másik is",2db rendelés alatt,CsZ,
SZÉV2024-070,TRUE,GYE,03.06,,1,,,,SZÉV raktár,,,1 karton féktisztító,,,LR,
SZÉV2024-071,TRUE,GYE,03.06,,1,03.06,,M23111,BRUNNBAUER,HG-400,,"nagynyomású vízszűrő betét HP152HL8-10MB (28x55x230)
szűrőház típusa: HY-PRO PFH152N8S310MB7V Q320503
EL#HP152NL8-10MB
S/N: 20153698 (6000 PSI max)",,,LR,
SZÉV2024-072,TRUE,GYE,03.07,,0,03.08,,M18249,IMTEF (PANTE PROJEKT),MSL-200,,4(+8 db) 25TAC csapágy,,,LR,
SZÉV2024-073,TRUE,GYE,03.07,,0,,,,SZÉV,,,mosófolyadék + regeneráló tabletta Ervinnek,,,LR,
SZÉV2024-074,TRUE,IMP,03.07,,0,2024.05.21./2025.08.29.,BET2025/02785,M15219,CSABA METÁL ZRT.,EmB-1305G,,24szerszámhelyes karos szerszámcserélő(DIN50),,,CsZ,
SZÉV2024-075,TRUE,GYE,03.08,,1,03.08,,M07334,SOMAPAK KFT.,EmL-610,,Főorsó csapágyak: 4db - 7012UCG/GNP4,,TH0458 - Smax:8000,CsZ,
SZÉV2024-076,TRUE,IMP,03.08,,1,2025.05.29.,BET2025/01755,-,SZÉV,SFM-760,,20 db tárbetétét.,Csatolt képek.,,AA,
SZÉV2024-077,TRUE,ERA,03.11,,1,03.20,,M17226,FIRST-TECH KFT,KAFO650DD,,Ajtókapcsoló / Omron D4SL-N4AFA biztonsági ajtóretesz 20-00004995-00,,3 db,AL,
SZÉV2024-078,TRUE,GYE,03.13.,,,03.26,,,SZÉV,,,Rezsi ,Csatolt táblázat,,AL,
SZÉV2024-079,TRUE,GYE,03.14,,1,03.18,,M05048,NORTON 4 KFT.,TNL-100AL,,revfej tárcsa tömítés (D=204mm),,1db,CsZ,
SZÉV2024-080,FALSE,IMP,03.14,,1,,,M18231/P19108,DOROTI PACK KFT.,MM-850SS,,A V-Z-000002 gyári számú géphez kérünk szépen X-tengely vezetékeket és lineáris kocsikat,,,LR,
SZÉV2024-081,TRUE,IMP,03.18,,0,,,M20179/P20157,AMAZONE TECHNOLOGY KFT.,HT-92Y,,"ajánlatot forgácskihordó lánc alkatrészre, lánc tagra és tengelyre valamint komplett láncra is",csatolt mail,,CsZ,
SZÉV2024-082,TRUE,GYE,03.18,,1,04.09.,,M09168,BERVINA KFT.,TOMILL-160,,Főorsó csapágyak - 3db: B7009C-T-P4S-UL,csatolt kép,,CsZ,
SZÉV2024-083,TRUE,GYE,03.18,,1,03.27,,M18039,TOP HOLDING ZRT.,EEN-400/1250,,TA160N/4 - rugó,minta rugó kiküldve Taksonyba,3db,CsZ,
SZÉV2024-084,TRUE,IMP,03.19,,1,2024.03.20. 2024.08.01.,BET2024/02565,M07334,Somapak KFT.,EmL-610,,1+4 db 830-5GT-30 főorsó szíj,Érkezett 2024.08.01.-én 5db.,1 db,LR,
SZÉV2024-085,TRUE,ERA,03.19,,,03.20.,,,SZÉV raktár,,,20-00000208-00;Ventilátor 120x120x38-as 24Vdc,,7 db,AL,
SZÉV2024-086,TRUE,IMP,03.20,,0,2024.12.09.,BET2024/04207,M17147,S.C.METAGALAX s.r.l.,SMART-S8,,Főorsó csipesz (DIN40),csatolt képek,"3 db,2 db érkezett",CsZ,
SZÉV2024-087,TRUE,ERA,03.20,,1,04.16.,,,TECHSZERVIZ KFT,EML-1200,,Digitális nyomáskapcsoló (SMC - ISE30A-01-B-G) + Felerősítőfül ISE/ZSE30A egységhez (SMC - ZS-38-A1),10-10005333-00 + 10-10005338-00,3 db,CsZ,
SZÉV2024-088,TRUE,GYE,03.20,,,,,M13194,METAL-99 KFT.,McB-1604B,,"10-01000358-00,Szíj /8M/680/30 mm",,1 + 1 SZÉV,CsZ,
SZÉV2024-089,TRUE,GYE,03.21.,,,2024.05.23.,,M20061,Dongferr+SZÉV raktár,BNC-2280 (AC-2580) ESZTERGAGÉP,,10-00002486-00/Szíj / 5M/475/25 mm,Csatolt email,1+4 db,AL,
SZÉV2024-090,TRUE,GYE,03.25,,1,05.17.,,M22015,FT LINE,VD-510S,,Főorsó csapágyak (20.000 RPM): FAG HCS7008-C-T-P4S-UL,TH0463,4db,CsZ,
SZÉV2024-091,TRUE,IMP,03.25,,0,04.15,,M17266,BKV-VJSZ KFT.,BNC-1840(eredeti gép:BNC-1860 081116422),,biztonsági ajtó üvegére árajánlat (+pontos méretek),Gyártó mérete: 524x524x15mm,ÜF mérése 580x580mm,CsZ,
SZÉV2024-092,TRUE,GYE,03.26,,1,04.23.,,,AKVI-PATENT,SLT-500/1500,,"Z golyósorsó javítása, bevittük az ügyféltől egyenesen a Szimikronba, elszabadult rajta egy gyűrű",,,LR,
SZÉV2024-093,TRUE,GYE,03.26.,,,03.28.,,M23067,MOBILINTER KFT.,KFO-650DD 5 tengelyes marógép,,Nyomásmérő óra,Csatolt fotó/email,1 db,AL,
SZÉV2024-094,TRUE,GYE,03.27,,,03.28.,,M06181,ALBAMETAL KFT.,TNL-120AL,,hidraulikus revfej vízátvezető,"Csatolt fotó/email/2024.06.05.-én visszaküldtem, nem lett felhasználva.A.L.",1 db,CsZ,
SZÉV2024-095,TRUE,ERA,03.28.,,,2024.06.17.,,,SZÉV raktár,,,"20-00000876-00, Relé / Omron G2R-1-SND DC24(S) (1 érintkezős relé",Csatolt email,10 db 05.02.: Era: megvan rendelve,AL,
SZÉV2024-096,TRUE,GYE,03.28.,,,,,M08076,BOCZ-N KFT.,TNL-120ALDT,,Árajánlat: Főorsó szíj: Szíj 6-11NS/2180/3 borda ékszíj - 2db,,3500RPM,CsZ,
SZÉV2024-097,TRUE,ERA,04.02.,,,05.14.,,M17226,First-Tech Kft.,KFO-650DD(VU-620),,"Kábel olajálló flexibilis 12x0,75 (JZ-HF Art.nr.15025),21-00015025-00",Csatolt email,15 méter,AL,
SZÉV2024-098,TRUE,GYE,04.03.,,0,2024.06.04.,,M17204,DOROTI PACK KFT.,MM-800S,,Deublin 1109-020-188 forgóátvezető,,1 db,LR,
SZÉV2024-099,TRUE,GYE,04.03.,,0,2024.06.04.,,,SZÉV tartalék,,,Deublin 902-120-188 forgóátvezető,06.04.: Hajdu Autohoz felhasználjuk,1 db,LR,
SZÉV2024-100,TRUE,IMP,04.08.,,0,2024.12.06.,BET2024/04191,M13128,PLES ZRT,EmB-1105B,,"10-00009480-00,Tartalék / Kenőtáp / CHIBA TM-302FW-TP4 típus (220V)",,,CsZ,
SZÉV2024-101,FALSE,GÉPÉSZ,04.09.,,0,,,M15013,GANZ MOTOR,HG-800,,ajtósín a csatolt képek alapján,,,LR,
SZÉV2024-102,TRUE,GYE,04.09,,1,04.23.,,,AKVI-PATENT,SLT-500/1500,,Z golyósorsó csapágyak - 2 db ZARN3570TN,,,LR,
