Beérkezés dátuma,Kiküldés dátuma,Cég neve,Géptípus,Megnevezés,Bejelentett hiba,Elvégzett munka (szervizlapra írandó),Megjegyzés,Telephelyi Munkaidő,"Tervezési
 feladat",Beszerzett alkatrészek,Anyagktg. (nettó beszerzési árak!),"Mérési 
eredmények",Kész - 1
2020.06.15.,,Gép és Ferrotech (M20054),NCT-HBM-160 (PEGARD PRECIVIT AF160.S?),Szögfej,Felújítás,"Tisztítás, szétbontás, átvizsgálás, gépészeti feladatok, szögmérő kiépítésének megtervezése;
öntvényházak, tartozékok festése, tisztítása és átmunkálása Taksonyban, tervezett alkatrészek legyártatása;
Csapágyak beméretése, új csapágyak beszerzése;","Alkatrész lista:
- 1 db orsóház - eredeti
- 1 db öntvényház ""harang"" - eredeti
- 1 db tartókeret - eredeti
- 1 db csigakerék - eredeti, átmunkált
- 1 db közlőtengely a gépi főorsó és a szögfej közé - gyártott
- 2 db menesztő dió - gyártott
- 1 db adaptergyűrű - gyártott
- 1 db olvasófej tartó - gyártott
- 1 db oldal burkolat a harangra - gyártott
- 7 db mágnesgyűrű burkolat - gyártott
- 1 db AMO mágnesgyűrű
- 1 db olvasófej",,Muzsek René; Fűz Zoli,"Csapágyak:
- Timken kúpgörgős csapágy készlet (Tral Trade)
AMO mágnesgyűrűs útmérő rendszer:
- 1 db WMFA1010A10- 1024-MF-AA13 ..  -001-83 / ID 1195847-09 abszolút szögmérő gyűrű
- 1 db WMKA2010S .0110..NN-20- 1024- 1.00-1SS08-C4 ..  -001-83 / ID 1157637-P8 abszolút szögmérő olvasófej
Egyéb:
-  3 db 62-es seeger gyűrű furatba (82,50 Ft / db)",,,
2020.08.04.,,Dömötör István EV,Snupy (M10164),Esztergagép,"Szerződés szerinti munkák, javítások","1. Sauter revfej: leültetési hibák, csak 2 szerszámhely volt használható; korábban rendelt alkatrészek beépítése
2. ""Z"" tengely hangos: golyósorsó kopott, szabadon forgatva is hangos, Szimikronnak eljuttatva 09.11., feljavítva, visszaépítve;
3. ""X"" tengely kottyan: a szíjtárcsa lötyögött a tengelyen, újraillesztés, ""X"" tengely beállítása éklécekkel, csapágyak újrahúzása;
4. Vezérlőcsere NCT 201-ről 304-re;
5. Főorsó leszúráskor beremeg?
6. Főmotor ventilátor hangos? Ventilátor motor átcsapágyazás
7. Hűtővíz szivattyú hangos? Szivattyú motor átcsapágyazás
8. Vezetékvédő harmónikák szakadtak, újak gyártatása -> Gépőr Kft
9. Szegnyereg 1 óra alatt kitolódik teljesen magától? -> nálunk nem jelentkezett
10. Hűtővíz nyomás minimális? -> új hűtővíz cső gyártása megfelelő fittengekkel (Optimit)",Fun fact: Sauter fejen Baruffaldi tárcsa van!,Smici: 40 óra,,"""X"" tengely behajtás oldal:
- 1 db SNR 6009 EE (10-00016482-00)
""Z"" tengely
- 2 db ZKL NU204 hengergörgős csapágy (10-00000204-10)
- 2 db SIM30x40x7 S HMSA10 RG
- 0,5 m Törlő / Vezetéktörlő BA-18 (L=1000 mm),10-00001144-00
- 1 db 10-00016806-00 Védőharmónika / Snupy(1.) M11228
- 1 db10-00016807-00 Védőharmónika / Snupy(2.) M11228
Szivattyú:
- 1 db 6202 ZZ (10-00002551-00)
- 1 db 6203 ZZ (10-00002751-00)
Ventilátor motor:
- ZVL 6201 2RS (10-01011134-00)
- ZVL 629 2Z (10-10000629-01)
Revfej:
- 1 db M8-as T-anya [10-00008587] (Sauter: 064915)
Vizezés:
- 1 db hidraulika cső 2 m + 1,2 m (egyik vége M14x1,5; másik: M22x,15) (Optimit Kft.)","Gördülő Simmering (2020.09.15.)
4647,04 Ft 
Gördülő Simmering (2020.10.22.)
192 Ft
Optimit Kft. (2020.10.28.)
7703 Ft",-,
2020.11.23.,,Industribedarf Krüger,Euroturn-12C (M13105),Főorsó és ellenorsó; Baruffaldi TBMA-100,Felújítás,,,,,,,,
2020.11.19.,,Biotech,Kondia B640,GSA CNC-201R (S/N: 0421444 - 2004-10) körasztal,körasztal szorul; Harting csati cserére szorul,,"TARTOZÉKOK BEHOZATALKOR:
- 1 db tokmány + felfogólap",,,,,,
2020.11.19,,Duna Precizíós,EmR-610D (M14287),AiS 100-LW 15.000 rpm főmotor (CC2-10-097),Csapágyazás,,"TARTOZÉKOK BEHOZATALKOR:
- 1 db GS38 Rotex kuplung - rozsdás
- 1 db zöld kuplung csillag GS38-hoz, kopott
- 1 db rövid, vékony vízátvezető tengelyvégbe (levegős kivitelnél)
- 4 db hidraulika csatlakozó (köpeny + csapágyhűtés)
- 1 db kábel csapágyhőmérséklet figyelésé
- 1 db hidraulika cső pajzs hűtés
- 1 db kötődoboz + tartólap
- 1 db emelőszem a hátulján
- 1 db levegőbevezetés a hátulján 8as csőhöz
- 2 db tömszelence műanyag
- 1 db pg21 gégecső + 2 db pg21 karmantyú - kábelvédelem",,,,,,
2020.11.xx.,,Pannon-Spirál,VMC-1600F (M10291),Royal 10.000 rpm főorsó,Felújítás,,,,,,,,
2020.10.29.,2020.11.27.,Metarad,TCS-1500 (M14229),Baruffaldi TBMA-200,mindene rossz,"revfej eleje lett behozva a hajtott szerszámos csoporttal, az alkatrészek rendkivül koszosak, a csapágyak mind beállva a szeméttől, ",,,,"Csapágyak:
- 2 db SKF 16004 (Gördülő Simmering Kőrösi Cs. S. út)
- 1 db KBS 61907 (Gördülő Simmering Nagy L. k. út)
Tömítések (Seal Ring BET2020/03657):
- 1 db O 10,82 x 1,78 NBR70
- 1 db O 34,65 x 1,78 NBR70
- 1 db Gyűrű / O gyűrű 53,7x1,78
- 1 db O 05,28 x 1,78 NBR70
- 1 db O 12 x 1,8 NBR70
- 2 db O-gyűrű 130x2,5
- 2 db O 120,24 x 3,53 NBR70
- 1 db GY K8 31 x 26,1 x 2,3 (fém) FLON3
- 1 db O 24,5 x 2 NBR70
- 1 db GY K8 28 x 23,1 x 2,2 (fém) FLON3
- 1 db O 21,5 x 2 NBR70  
- 1 db GY S9 35 x 43,2 x 3,2 (fém) FLON3 
- 1 db O 37,77 x 2,62 NBR70  
- 1 db GY S9 26 x 31,2 x 2,2 (fém) FLON3
- 1 db O 28 x 2 NBR70
- 2 db S 35 x 47 x 05 RST FPM80
- 2 db  O 245 x 2,5 NBR70
- 3 m O zsinór 01,78 MM NBR70 ","Seal Ring:
15.240,97 Ft
Gördülő Simmering:
4842,44 Ft",,
2020.08.07.,,Krüger Czetec,HG-400 (V.) (006) (M15086),Motororsó,Motor zárlatos,"Szétbontás, átvizsgálás, nyomáspróba",,,,,EMTC (gyantakiöntés) 24180 Ft,,
2020.07.21.,,Pro Form Kft.,EmR-1304D (M13166),"Főorsó 15.000 rpm
(SN: 182932)",Munkahenger ereszt,Munkahengert Ricsinek kiküldtük; orsó átcsapágyazása;,"Ügyfél csereorsót kapott!
SN: 204082
SZL: 27192",,-,4 db NSK 70BNR10HTSUEL,,,
2020.07.13.,,Alu-Meta Sistem,MM-760 (M14056),Cells 8.000 rpm főorsó,Főorsó felújítás,"Totálkáros a főorsó, szétégett belülről, csapágyat le kellett flexelni a főorsóról, csapágy a valszeg fészekben megforgott
Új csapágy távtartó gyártása (Juhász)",ÜF csereorsót kapott!,,Muzsek René,"Csapágyak:
- 4 db NSK 7012CTRSULP3
Szíjtárcsa:
- 1 db 5GT-68T (10-00033115-00)
Tányérrugók:
- 68 db 34.00x16.30x2.00
Tömítések:
- 1 db 6x1 NBR70
- 1 db 7x1 NBR70
O-Gyűrűk:
- 4 db 113.4mm x 3.10mm ",,,
2019.09.06.,,SZÉV tartalék (KM CNC),EmL-1020 (M07272),Royal 8 000 rpm főorsó,"Csereorsót kaptak, eredeti felújítása","Orsókúp visszajött, főorsó összeszerelése","09.06. a csereorsó 10 000 rpm-es!
a behozott orsó 8 000 rpm-es, a kúpja üt
09.10. orsó kúp kiküldése Losonczihoz",,-,,,-,
2019.03.25.,,NCT Taksony,HG400 (M15318(?)),Karforgató hajtómű,Felújítás,"Szétbontás, tisztítás, állapotfelmérés;
03.25. burkolatok kiküldése Taksonyba festésre","04.11. újrafestett burkolatok beérkeztek; karforgató persely szóratásról visszaérkezett
A felszóratott persely be lett építve Krüger gépébe, a rossz el lett hozva",,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
2020.11.11.,2020.11.26.,Frigo-Metal,SV-1000 (M18303/P19107),"Royal BBT-DIN#40 15.000 rpm főorsó
AiS 100-LW-26 H (15.000 rpm) (s/N: CC2-10-5017)",Orsóval ütköztek,"Főorsó totálkáros, szerszám beszorult a kúpba, a főorsó végén a kuplung megforgott, megszorult;
Főmotor: kuplung cseréje, egyensúlyozás, járatás","ÜF csereorsót kap:
- 1 db Royal BBT-DIN#40 15.000 rpm (S/N: 396982) + szerelt Rotex GS38 kuplungpár (orsó és motor oldal)
- a motor maradt az eredeti, az jó állapotú","Belencsák: 1 óra
Rákosréti: 5 óra",-,"Főmotor:
- 1 db ROTEX GS38 körmös kuplung
- 1 db GS38-hoz zöld kuplung kereszt 10-00003783-00
- 1 db motortengelybe vízbevezető KAFO típ.10-00027041-00",,-,1
2020.11.25.,2020.11.26.,MST Engineering,MXS-300MT (M18170),"POSA BBT-DIN#40 főorsó 15.000 rpm
AiS100 (15.000 rpm) (S/N: CC2-10-4018)","Szerszámoldás nem működik megfelelően;
Főmotor beázott","Főorsó: szerszámmegfogó csipesz kibontása, szerszámoldás beállítása;
Főmotor: bontás, pajzsok lebontása, motor újratekercseltetése, csapágyazás, járatás","ÜF csere motort kapott!
AiS 100-LW 26 H (S/N: CC2-10-5043)","Kovács P.: 1 óra
Gulyás J.: 4 óra
Suhajda Sz.: 3 óra",-,"Főmotor:
2 db Csapágy / SKF S7208 CDGA/HCP4A precíziós golyóscsapágy,10-10012238-00,13z - Műhely csapágyak
1 db 10-00017845-00  Forgócsatlakozó / Deublin (1114-020-188) forgócsatlakozó","Tekercselés: Liker Motors, Dévaványa
Csapágyaztatás: FÉMÓ",-,1
2020.10.14.,2020.11.19.,Varrivál,VMC-1600F (M10116),Royal főorsó és főmotor (AiS132) 10.000 rpm,"Főorsó, főmotor csapágyazás","Főorsó: orsó bontása, tisztítása, orsókúp köszörültetése, csapágyak cseréje, rugóköteg cseréje, munkahenger javíttatása, szíjtárcsa csere;
Főmotor: csapágyazás, új szíjtárcsa átmunkálás + csere, egyensúyozás, erősáramú sorkapcsok (5 db) cseréje, PG-21 gégecső 0,7 m, 2 db PG21 karmantyú + anya",AiS132-t Csapó csapágyazza! A motor felszerelten ment ki hozzá!,"Smici: 16 óra
Rákosréti: 4 óra",-,"Csapágyak:
- 4 db FAG HS7014-C-T-P4S-UL (főorsó)
- 2 db FAG B7209-C-T-P4S-UL csapágy (főmotor) 
- 1 db IBC 6207 TB P4A2H (főmotor)
Szíjtárcsák:
- 1 db főorsó [10-00033142-00]
- 1db főmotor (átmunkált - Gyenizse)
Szíj:
- 1050-5MGT-50 szíj [10-10004185-00]
Forgócsatlakozó:
- Deublin (902-120-188) forgócsatlakozó 10-00002612-00
Jeladó:
-Lenord Bauer Gel2444
Tányérrugók:
- 56 db 40.00 x 20.40 x 2.50
O-gyűrűk:
- 4 db G140 (139,4 x 3,1)",Losonczi 420 EUR,,1
2020.10.21.,2020.11.18.,Nordmetal,IR1250F40 orosz gép (M12282),"orosz ""Z"" motor",motor kiváltás,"Eredeti motor felmérése gépész tervező által;
motor adapter lap gyártása, új kuplung illesztése","Eredeti motor lemágneseződött: kiváltás NCT motorra, motortartó lap gyártása szükséges
Új motor: NCT Ai15-30-54-EH/4096 sima hengeres",René: 8 óra,Muzsek René,"2 db M-típus holtjátékmentes körmös kuplung piros betéttel (19/35) (Powerbelt)
1 db [70056824-00] adapter lap gyártás (Amplus + N+K)
1 db NCT Ai15-30-54-EH/4096",,-,1
2020.11.02.,2020.11.13.,Duna Precizíós,EmR-610D (M14287),Royal 15.000 rpm főorsó (S/N: 212219),Csapágyazás,"Bontás, tisztítás, csapágyak cseréje, munkahenger felújíttatása",Munkahenger felújítása Ricsinél (beszerzési ár nettó 48640 HUF),"Ömböli: 4 óra
Smici: 4 óra",-,"Csapágyak (Tral Trade):
- 4 db NSK 60BNR10HTSUELP3
Tömítések:
- 4 db O-gyűrű 119,4 x 3,1 (G120)
Egyéb:
- 1 db MB 1_S körmös alátét","Gördülő Simm.:
- 1417,25 Ft
Ricsi:
- 48.640 Ft",-,1
2020.06.29.,2020.11.11.,B-Metál,SUI 63 (M15077),Revfej,Leültetési hiba,"Revfej beszállítása NCT-be;
Szétbontás, átvizsgálás, szelepek O-gyűrűinek cseréje; próbajáratás","Hiba egyelőre nem jelentkezett;
A központi bordástengely és a fogaskerék agy közé beiktattunk egy O-gyűrűt, mert gyanúnk szerint ott levegősödött (gyárilag ott nincs tömítés);
módosítás utáni járatás eredménye: a revfej hiba nélkül vált, az olaj nem fröcsög a tetején","Smici: 40 óra
Viktor: 8 óra",-,"10-00040680-00 O 40 x 6 FPM80 - 2 db
10-00030580-00 O 30 x 5 FPM80 - 1 db
10-00008447-00 Gumi / O-gyűrű 82x2 NBR 70 - 1 db
10-00221870-00 O 22 x 1,8 NBR70 - 12 db",,-,1
2020.10.29.,2020.11.12.,Log Valve,TMV-1050A,8.000 rpm főorsó,Felújítás,"Főorsó: bontás, tisztítás, kúp köszörültetése, csapágyak cseréje",Első labirintgyűrűből új kell (Juhász),Smici: 10 óra,Muzsek René,"Csapágyak (Tral Trade):
- 2 pár NSK 70BNR10HTV1VDUELP3
- 1 db NSK N-1012-BTKRCC1P4
Gyártás:
- 1 db 70056826-00 - Labirint
Szíj:
- 2 db 1000-EVGT-30
Tömítések:
- 1 db O-gyűrű 12 x 2,5 NBR70
- 2 db O-gyűrű 33x3,5 NBR70
- 1 db O-gyűrű 23,47x2,62 NBR70
- 2 db 144,4x5,7 (G145)",Losonczi 420 EUR,"7,6 kN",1
2020.10.12.,2020.11.12.,Metaplast Gear,MM-760 (M14050),Cells 8.000 rpm főorsó (S/N: 691402A085),Főorsó felújítás,"Bontás, tisztítás, kúpköszörülés, csapágyak cseréje, szíjtárcsa cseréje;
járatás",,Smici: 8 óra,-,"Csapágyak:
- 4 db NSK 7012CTRSULP3
Szíjtárcsa:
- 1 db 5GT-68T (10-00033115-00)
Tányérrugók:
- 68 db 34.00x16.30x2.00
Tömítések:
- 1 db 6x1 NBR70
- 1 db 7x1 NBR70
O-Gyűrűk:
- 4 db 113.4mm x 3.10mm ",Losonczi 420 EUR,-,1
2020.11.02.,2020.11.11.,Medimetal,TMV-510 (M06118),Főorsó 12.000 rpm / Hinaka HJ2-63N15F kis munkahenger,"Főorsó remeg, munkahenger ereszt","Főorsó: az orsó végén egymásba csatlakozó, forgó elemek egyengetése
Munkahenger: új tömítések gyártása (Seal Ring)",,Smici: 8 óra,-,"Tömítések:
- O 20 x 4,5 NBR70
- GY K17 63 x 53 x 9,5 NBR
- GY R14 20 x 28 x 1,5/2,2 FLON1","Seal Ring:
3224,35 Ft",-,1
2020.10.02.,2020.10.22.,Medimetal,TMV-510 (M06118),Főorsó (12.000 rpm),Csapágyas,"Orsó bontása, tisztítása, kúpköszörülés, csapágyazás, forgócsatlakozó kiórázása",,"Belencsák: 2 óra
Smici: 3 óra",-,"Csapágyak
- 4 db NSK 45BNR10STYNSULP3
- 1 db NSK N1009
Tömítések
- O 15 x 1,5 NBR70 (4016930090),10-00151570-00 - 12 db
- O 24 x 3 NBR70 (4016930090),10-00024370-00 - 10 db
- X 24,99 x 3,53 NBR70 X-gyűrű (4016930090),10-02499353-00 - 1 db
- O 07 x 2 NBR70 (4016930090),10-00007270-10 - 11 db
- O 07 x 1,5 NBR70 (4016930090),10-00071570-00 - 10 db
Szíj:
- 1 db 1000-EVGT-30","Köszörülés 420 EUR. 
Tömítések 637,49 HUF.",-,1
2020.10.22.,2020.10.29.,Metarad,Slovtos S280 (M16148/P18194),Főorsó (4.000 rpm),Főorsó csapágyas,"Hibakeresés, bontás, tisztítás, új csapágyak felszerelése","Csapágyak:
- 3 db IBC 7015-E-T-P2H-UL
- 1 db IBC NN3014-K-W33-M-SP","Ömböli: 4 óra
Smici: 4 óra",-,"Csapágyak:
- 3 db FAG B7015-E-T-P4S-UL
- 1 db FAG NN3014-D-K-TVP-SP-XL",226.821 Ft (Pannon Csapágy),-,1
2020.10.15.,-,Taksony,FD-450 (M20050),Grafitmaró főorsómotor,Jeladózás módjának vizsgálata,,,,,,,,
2020.10.02.,2020.11.20.,S.C. Robac,Deckel DMC-70V,Siemens 1PH7107-2NG32-0DC0 P921 8134 01 (max .9000 rpm),"Csapágyazás, jeladózás","Motor bontása, tisztítása, új csapágyak beépítése, új sorkapocs, összeépítés, új jeladó + csatlakozó, egyensúlyozás, járatás","Jeladó csatlakozó átalakítás;
Eredeti porcelán sorkapocs szét volt törve, új gyártása",Smici: 6 óra,Szabó Valentin,"Csapágyak:
- 1 db NTN 6308T2X2LLBACS40PX13 [10-10006115-00]
- 1 db NTN 2TS3-6208LLBACS4#01 [10-01001666-00]
Sorkapocs:
- 1 db egyedi, textil bakelitből",,-,1
2020.09.23.,2020.11.04.,ISD Dunaferr,Seiger SLZ-360 eszterga,Főorsó,Főorsó csapágyazás,"Bontás, tisztítás, csapágyak beazonosítása","Eredeti csapágyak:
- 3 db SNFA SEB95-7CE1TDM
- 2 db SNFA SEB65-7CE1-DDM",Smici: 8 óra,-,"Csapágyak:
- 3 db IBC 71919-CTP2H-TBTM (triplex)
- 2 db IBC 71913-CTP2H-DBM (duplex)","Tral Trade:
1130,32 EUR (netto)",-,1
2020.10.22.,2020.10.28.,Medimetal,TMV-510 (M06118),Lég-olajos munkahenger (Hinaka APF-0807N70cc),Munkahenger nem engedi el a nyomást,"bontás, tisztítás, tömítések gyártatása, cseréje, összeépítés",,"Ömböli: 1 óra
Smici: 1 óra",-,"Tömítések:
3 db KN/SN25 30x40x06/07 AU92
1 db GY K17 80x65x5,5 NBR
1 db O-gyűrű 80 x 2 NBR70
1 db O-gyűrű 24 x 3 NBR70
1 db O-gyűrű 48 x 3,5 NBR70","Seal Ring:
5488,53 Ft",-,1
2020.10.05.,2020.10.26.,Plastic-Form,Kondia A6 (M06195),Siemens 1PM4105-2LW26-1AS1-Z 12.000 rpm főmotor (S/N: U631 11719 01 001),Zörög,"Bontás, tisztítás, új csapágyak beépítése, összeépítés, egyensúlyozás, járatás",,Gulyás: 8 óra,-,"Csapágyak:
- 2 db SKF S7208CDGA/HCP4A [10-10012238-00]",,-,1
2020.08.03.,2020.10.22.,Phoenix Mecano,Chiron FZ-15S (M18221),"Siemens ""Z"" motor",Fék nem old,"Motor megbontása, átvizgálás: a motorfékben található mágnesgyűrű eltörött, fék komplett cseréje szükséges","Szerelési tapasztalatok: a fék armatúrája és állórésze között 0,3 mm légrést kell hagyni, vagyis a tengelyen nem lehet koppig feltolni
AZ ÚJ FÉK ARMATÚRÁJA ÉS ÁLLÓRÉSZE KÖZÖTT VOLT EGY VÉDŐLAP, EZT EL KELL ELŐSZÖR TÁVOLÍTANI, KÜLÖNBEN NEM MŰKÖDIK SEHOGY!!!!!!","Smici: 30 óra
Gulyás: 2 óra",-,"Motorfék:
- 1 db [10-21996-00] Kendrion 86 611-11H03 24V DC 0.93A 28Nm állandó mágneses fék",,-,1
2020.10.02.,2020.10.22.,Medimetal,TMV-510 (M06118),Főorsó (12.000 rpm),Csapágyas,"Orsó bontása, tisztítása, kúpköszörülés, csapágyazás, forgócsatlakozó kiórázása",,"Belencsák: 2 óra
Smici: 3 óra",-,"Csapágyak
- 4 db NSK 45BNR10STYNSULP3
- 1 db NSK N1009
Tömítések
- O 15 x 1,5 NBR70 (4016930090),10-00151570-00 - 12 db
- O 24 x 3 NBR70 (4016930090),10-00024370-00 - 10 db
- X 24,99 x 3,53 NBR70 X-gyűrű (4016930090),10-02499353-00 - 1 db
- O 07 x 2 NBR70 (4016930090),10-00007270-10 - 11 db
- O 07 x 1,5 NBR70 (4016930090),10-00071570-00 - 10 db
Szíj:
- 1 db 1000-EVGT-30","Köszörülés 420 EUR. 
Tömítések 637,49 HUF.",-,1
2020.01.01.,2020.10.08.,NCT 2000 Kft.,EmL-1200 SV (M18330/P19811),Spirsin 82240.3F / 260,Körasztal tengelyeinek jeladózása,"Körasztal felmérése, átalakítási lehetőségek keresése, körasztal szétbontása, a jeladózáshoz szükséges alkatrészek gyártása;
Körasztal kiemelő papucsok illesztése, felszerelése, új jeladók, jeladó burkolatok felszerelése;
Geometria visszaellenőrzése, járatás, foghézag beállítása;
A mérésről jegyzőkönyv készült;
Burkolatozás, tisztítás","Felületi sérülések, lepattanások hibajavítása
Fékezés tesztelése: B tengely: min. 60 bar, C tengely: min. 20-30 bar
A B tengely rögzítésnek kell pár másodperc, míg felépül a nyomás","Ömböli: 16 óra
Smici: 40 óra","Fűz Z.: 16 óra
Soós A.: 16 óra","Jeladó:
- 1 db HDH EBI1135 (B tengely)
- 1 db HDH ECN125 (C tengely)
Tömítések:
- 1 db szimmering 125x150x12 RST NBR70
- 1 db szimmering 90x120x12 NBR70 769,14 Ft
- 1 db porvédő 200x212x11/5,5/3 (DA17-2000 = Kastas K10-200)
- 1 db Hidraulika / TN185GG Záródugó belső menethez gumitömítéssel M20x1,5 (VSTI-2015-ED),10-10005717-10","Szimmeringek: 
Seal Ring 1138,33 Ft + 769,14 Ft
Porvédő: Plusz&Roll 9100 Ft
Optimit záródugó 488 Ft",-,1
2020.09.23.,2020.10.20.,NCT Taksony,,Baruffaldi TBMA-100/8 VDI16 hajtott szerszámos fej,Zörög,"Késpárhuzam beállítása, revfej járatása; a hajtott szerszám szabadon forgatva csendesen jár, szerszámmal viszont hangos: terhelés hatására csendesebben jár, nem a fejnek van baja",,Smici: 4 óra,-,-,-,"Késpáruhzam: 0,03 mm",1
2020.09.23.,2020.10.20.,NCT Taksony,Euroturn-12C,Baruffaldi TBMA-100/8 VDI16 hajtott szerszámos fej,Zörög,"Késpárhuzam beállítása, revfej járatása; a hajtott szerszám szabadon forgatva csendesen jár, szerszámmal viszont hangos: terhelés hatására csendesebben jár, nem a fejnek van baja",,Smici: 4 óra,-,-,-,"Késpárhuzam: 0,01 mm",1
2020.10.02.,2020.10.09.,Axicont,EmR-1200B (M16307),"HPB VM100L 12.000 rpm főmotor
(SN: 16071828H1)",Főmotor csapágyazás,"Tisztítás (Taksony), bontás, csapágyak cseréje, összeépítés, egyensúlyozás, járatás",,"Ömböli: 4 óra
Rákosréti: 4 óra",-,"Csapágyak:
- 1 db NTN 6308T2X2CS40PX13
- 1 db NTN 6207T2XLLBC3P5/L 448QTL
Szíj:
- 1 db 800-5GT-30",,-,1
2020.10.06.,2020.10.09.,Metarad,S-280,Lammers 13AA-132M-4 (S/N: GL1807/18BM00215-03-1297),Motor hangos,"Bontás, tisztítás, csapágyak cseréje, összeépítés, egyensúlyozás, járatás",A szíjtárcsába bele voltak ragadva a szíj darabjai,"Ömböli: 4 óra
Rákosréti: 4 óra",-,"Csapágyak:
- 2 db SKF 6308 ZZ C3
Szíj:
- 1 db 820J/PJ2083 (34 pályás)",,-,1
2020.09.30.,2020.10.07.,Vivber,MATEC 30HV (M19094/P19062),Cserélőkar hajtómű,Váltókar közepéből folyik az olaj,"Bontás, átvizsgálás, O-gyűrűk, rézalátét cseréje",,Ömböli: 4 óra,-,"Tömítések:
- 4 db 10x2,5 NBR70
Rézalátét:
- 2 db G1/8""",Réz karikák 866 Ft,-,1
2020.08.19.,2020.10.06.,Human Metal / DENTISYSTEM,Emco Compact 6p (M12054),revfej,"Miután lefutott a ciklus és váltott volna a fej,akkor már nem fordult,így le is kapcsolták a gépet,nehogy leégjen a motor, mert erőlködött, hiszen megszorult a fej. Hibajelzések: - Revolverfej nincs rögzítve - Revolverfej időn túl előre (hátra)","revfej szétbontása: a motor és a meghajtó csiga közötti közlő tengely eltörött; új tengely rajzoltatása, gyártása",A revfejet járatni nem tudtuk!,Smici: 4 óra,Szabó Valentin,Közlő tengely 1 db gyártása (Juhász),2800.- / db,-,1
2020.08.19.,2020.09.21.,Medimetal,MAS MCV 500,Walter TANI 160 Körasztal + hajtás,Motor melegszik,"Hajtás átvizsgálása, javítása; körasztal megbontása, motor átvizsgálása;
Jeladók beállítása, körasztal járatása saját hajtásával, funkciópróba
A motor 1,5A áramot vesz fel a hajtáshoz, ami megfelelő.",,"Hulmány: 4 óra
Belencsák: 2 óra",-,,,,1
2020.09.18.,2020.09.18.,Componente Auto,TNL-100AII (M11272),AB9-54-30-EH/M-Z2 (SN: 1203-4936),Csapágyazás,"Szétbontás, csapágyak cseréje, összeépítés",,Smici: 2 óra,-,"Csapágyak:
- 1 db  SKF 6204 ZZ
- 1 db SKF 6205 ZZ",,-,1
2020.09.08.,2020.09.10.,MNR Fémmegmunkáló,EmB-2004B (M10082),Főorsó és főmotor 10.000 rpm (AiS132),szíjtárcsa csere,"Főorsó és főmotor szíjtárcsa csere, főmotor kiegyensúlyozása új szíjtárcsával",,"Smici: 4 óra
Rákosréti: 2 óra",-,"Szíjtárcsák:
- Főorsó: 5GT-54T (d = 60 mm reteszes)
- Főmotor: 5GT-54T (d = 42 mm ringfeederes)
Szíj:
- 1 db 900-5GT-30",,-,1
2020.07.31.,2020.09.07.,Pro Form Kft.,Tomill-250 (M09079),Főorsó és főmotor (Lenze MDFKARS 080/120),Csapágyazás,"Főorsó és főmotor szétbontás, tisztítás, főmotor csapágyazása, újrafestése; főorsó csapágyazás","Gulyás: motor bontás, csapágyazás, összeépítés, főorsó szétbontás
Smici: főorsó összeépítés folytatás","Gulyás: 6 óra
Smici: 2 óra",-,"Csapágyak:
- 1 db SNR 6004 EE
- 1 db NSK 6205 ZZ C3
- 1 db 7009A5TRV1VSULP3
- 2 db 7010A5TRV1VSULP3",,-,1
2020.08.07.,2020.09.01.,Gia Form,TCS-2000LDT (M17248),Szegnyereg,Csúcs szorul,"Szétbontás, tisztítás, átvizsgálás, felületek átcsiszolása, összeépítés, funkciópróba",,Gulyás: 6 óra,-,-,-,-,1
2020.08.13.,2020.09.01.,Schunk Carbon,Nordfels,Motororsó+hajtás,Motor remeg,"Hajtás megjavítva, motort visszaküldtük ÜF-nek",,,,,,,
2020.05.20.,2020.08.xx.,NCT Taksony,EmR-1600SV,Billenőfej torque motor#2,Összeépítés,Kész,,Smici: 40 óra,SoóS Attila,,,,1
2020.07.27.,2020.08.14.,Nivelco,Smart-42,Baumüller DAF100 főmotor,Csapágyazás,,,"Gulyás: 2 óra, Tóth István: 2 óra ",-,"Csapágyak:
- 1 db Koyo 6209 ZZ C3
- 1 db Koyo 6306 ZZ C3",Plusz & Roll (08.11.),-,1
2020.08.12.,2020.08.14.,Magyarmet,HT-92DT (M13167),HPB VM160M (S/N: 13112017D) 5.000 1/min,Főmotor csapágyas,"Tisztítás, szétbontás, csapágycsere, Jeladó csere összeszerelés",,Ömböli: 4 óra ,-,"Csapágy: 1 db NSK 6311 ZZ C3, 1 db NSK 6313 ZZ C3, Jeladó: 1 db Tamagawa SIN TS6058",csapagy: brutto 31839 (tral trade),,1
2020.08.10.,2020.08.14.,Alumíniumárú gyár,Gildemeister MD-7 (M14222),Meghúzó szerkezet,Dől belőle az olaj,"Meghúzó szétbontása, tisztítása, tömítések cseréje","Csúszófelületek, menetek korrodáltak, sérültek","Tóth I.: 8 óra
Gulyás: 8 óra",?,"Tömítések:
- 1 db O 125 x 7 NBR70 10-12577000-00
- 1 db O 207 x 7 NBR70 10-20777000-00
- 1 db O 213 x 3 NBR70 10-21337000-00
- 2 db O 115 x 6 NBR70 10-11567000-00
(2 db - O 116 x 6 NBR70 10-11667000-00)","Seal Ring: 4657,24 Ft",-,1
