Sorszám,Kész,Munkaszám,Beérkezés,Ki hozta be?,Kiszállítás / Elkészülés,Megrendelő,Géptípus,"Gépépítőelem 
megnevezése","Gépépítőelem 
típusa","Gépépítőelem 
sorozatszáma",Hibajelenség,Mechanikus munka,Elektromos munka,Dolgozó(k),Telephelyi munkaóra,"Gépészeti 
 munka", Mechanikus anyagok, Elektromos anyagok," Külsős megbízásos munkák, beszállítók","Tartozékok, megjegyzés",fiz/gar,✓,
TH0038,0,M19069,2021.01.26.,,2021.02.15.,MST ENGINEERING KFT. ,EmR-1600M-5HT billenőfejes,Billenőfej,PARKSON,,Mindenhonnan folyik a víz,"Billenőfej hátuljának bontása; forgócsatlakozó (Rotoflux B08-1652-01E) kibontása; forgócsatlakozó szétszedése, csapágy csere (2 db nachi 6002 ZZE);
Főorsó rész megbontása, átvizsgálás, alkatrészek tisztítása, csapágyak beazonosítása; csapágyak cseréje, összeépítés, járatás, egyensúly ellenőrzése",Járatóba kötés,"Ömböli Z., Tóth V., Rákosréti J.",16 + 4 + 2 óra,-,"Csapágyak:
- 2 db Nachi 6002 ZE (forgócsatlakozó)
- 2 db GMN HY SM 6014 17° TA P4 (főorsó)
- 2 db SKF 7012 ACEGA/HCP4A (főorsó)",-,ZovitechX,"Egyensúly:
@5.000 rpm: 0,26 / 0,31
@12.000 rpm: 0,3 / 0,4",,,
TH0039,0,M18170,2021.01.26.,,2021.02.05.,MST ENGINEERING KFT. ,MXS-300 MT,Főmotor,AiS 100-LW 26 H 15.000 RPM,CC2-10-5043,Fura zaj első csapágy felől,"Motor elejének megbontása; szerelési hibát találtunk. Gépésztervezőkkel egyeztetve, ""első külső csapágyfedél"" szükséges módosításának elvégzése. Motor csapágyainak cseréje. Motor összeszerelése, járatása, egyensúlyozása.",Kötődoboz visszakötése,"Ömböli Z., Ginter E., Rákosréti J.",3 + 1 + 4 óra ,Szabó Valentin,"Csapágyak:
- 2 db SKF S7208 CDGA",,"ZovitechX, FÉMÓ Kft.",,,,
TH0040,0,M18026,2021.02.01.,,2021.02.08.,SL-FORG KFT.,TCS-2000L\51,Főmotor,HPB VM132S,18062713D,Motor csapágyas,"Motor bontása, csapágyak cseréje, összeépítés, egyensúlyozás, járatás",-,"Gulyás J., Schmiedmeiszter P., Rákosréti J.",2 + 4 + 2 óra,-,"Csapágyak:
- 1 db SKF 6307 ZZ C3
- 1 db 6309 ZZ C3",-,Gördülő Simmering,,,,
TH0041,0,M14165,2021.02.03.,,2021.03.03.,SANATMETAL KFT.,EmR-1200M-5HTA billenőfejes,Főorsó,MICROLAB M4-RMSC DIN40,,Beázott,"A forgóátvezető egy perselybe megy bele a motororsó tetején. A perselyben lévő furat kevésnek tűnik a résvíz elvezetésére. Emiatt az orsó beázott a felgyűlt víztől. Motororsó teljes szétbontása, kitisztítása, átvizsgálása. Csapágyak cseréje. Forgóátvezető cseréje. Forgóátvezetőt takaró fedélbe beszúrás esztergálása O-gyűrűnek. Jeladó tárcsa és olvasófej cseréje. Járatás, rezgés, kiegyensúlyozatlanság ellenőrzése ",Jeladó tárcsa és olvasófej cseréje,"Gulyás J., Ginter E.",16 + 8 óra,"Soós A., Fűz Z.","Csapágyak:
2 db FAG HCB7010-C-T-P4S-UL
2 db FAG HCB7013-C-T-P4S-UL
Forgócsatlakozó:
1 db Rotoflux A08-1501-05L
Tömítések:
2 db O-gyűrű 35 x 1,5 NBR70","Jeladó:
1 db Lenord+Bauer GEL2444TN1G
1 db 690362500 - Jeladófogaskerék
1 db 690067090 - Jellemez","FÉMÓ, Pannon Csapágy",,,,
TH0042,0,M13188,2021.02.04.,,2020.02.25.,GRIF-TOOLS KFT.,EmL-1020B,Szerszámoldó munkahenger,HINAKA szerszámoldó munkahenger szíjhajtásos géphez,,Munkahenger átereszt,"Munkahenger bontása, tisztítása, tömítések beazonosítása, gyártatása",-,Schmiedmeiszter P.,3 óra,-,Tömítések,-,Seal Ring,,,,
TH0043,0,M16021,2021.02.03.,,2021.02.09.,"LITZE KFT. 
PCE PELLETING CONSUMABLES EUROPE KFT.",CHM-16 belső sorjázó,Főorsó,,,Főorsó zajos,"Bontás, tisztítás, csapágyak cseréje, összeépítés",-,Ömböli Z.,4 óra,-,"Csapágyak:
2 db RHP B7006X3-TAUL EP7 GZ T csapágy
Egyéb:
1 db [10-00028451-00] M6 metrikus csavar + banjo M8x1",-,ZovitechX,,,,
TH0044,0,M05006,2021.02.04.,,2021.02.11.,FIRE CONTROL KFT. (DENDRIT KFT.),TMV-850,Körasztal,GSA CNC-201R,,"Motorcsere, karbantartás","Körasztal tisztítása, régi olaj leeresztése, átmosás, feltöltés friss olajjal (CGLP-150 - 0.75 liter)
Motor cseréje","Csatlakozó betétek, anakonda cseréje","Suhajda Sz., Gulyás J., Tóth I.",18 + 4 + 2 óra,-,"Pneumatika:
1 méter 6-os levegőcső
2 db 3x06 T-elosztó
1 db Airtac 4V-110-06 levegőszelep
2 db R1/8"" lepufogó
2 db D06 - R1/8"" gyorscsatlakozó könyök
Tömítések:
1 db S 150 x 180 x 14 RST NBR70
1 db O 212 x 2,65 NBR70
1 db O 212 x 3 NBR70","2 méter kábelvédő fém anakonda
2 db fém anakonda tömszelence
1 db NCT A3-54-30-EH/4096-Z
1 db SMC ISE30A digitális, kijelzős nyomáskapcsoló",Seal Ring (U2021/00841),,,,
TH0045,0,M16276,2021.02.03.,,2021.02.08.,SCHUNK HOFFMANN CARBON TECHNOLOGY KFT.,Klopp (III.),Főmotor,HPB VM132L,160825104G,Motor csapágyas,"Bontás, tisztítás, csapágyak cseréje, összeépítés, járatás, egyensúlyozás",-,"Gulyás J., Rákosréti J.",6 + 2 óra,-,"Csapágyak:
2 db SKF 6309 ZZ C3",-,Gördülő Simmering,,,,
TH0046,0,M14221,2021.02.01.,,2021.02.15.,MEDRES KFT.,VD-510S,Főorsó,20.000 RPM,,Kúpba beszorul a szerszám,"Orsó köszörültetése EGYBEN, orsó bontása, tisztítása, csapágyak cseréje, összeépítés",-,Tóth I.,8 óra,-,,-,Losonczi,,,,
TH0047,0,M10005,2021.02.12.,,2021.02.26.,MST ENGINEERING KFT.,TNL-85ADT,Főmotor,BAUMÜLLER DAF 132 K-23A10-5,10801310,Főmotor csapágyas és zárlatos,"Motor bontása, tisztítása, csapágyazása
ÜF csere motort kap (S/N: 10504860)!
Eredeti motor tekercseltetése","Jeladó cseréje, jeladó kábel és csatlakozó cseréje","Ömböli Z., Kendrik G., Rákosréti J.",3 + 2 + 3 óra,-,"Csapágyak:
- 1 db NTN 6310 ZZ C3
- 1 db SNR 6312 ZZ C3","Heidenhain ERN1380 1024 Sin-os
Jeladó csatlakozó aljzat, könyök",Liker Motors,"Liker: 98.000 Ft
 Az eredeti, felújított motorra nem teszünk jeladót, az a későbbi felhasználástól függ",,,
TH0048,0,M17116,2021.02.18.,,2021.02.24.,VÖRÖS IPARI ÉS KERESKEDELMI KFT.,EmR-1020D,Főmotor,AiS 100-LW 10.000 RPM,CC2-10-143,Motor zárlatos,"ÜF csere motort kapott: AiS 100-LW 26 H (S/N: CC2-10-5043)
Régi motor: első pajzshűtéses!
Régi motor hidraulika csatlakozóinak, kuplungjának, vízátvezetőjének és kötődobozának átszerelése új motorra;
Új motor egyensúlyozása, járatása
Régi motor: tekercseltetni szükséges!",Kötődoboz átkötése,"Ömböli Z., Rákosréti J.",4 + 4 óra,-,"Motor:
1 db AiS 100 LW-26 H 15.000 rpm
Deublin:
1 db 902-120-188","Jeladó:
1 db Lenord-Bauer GEL2444TN1G3K030-E",-,,,,
TH0049,2,M20083,2021.02.26.,,,ROYAL PRODUCTION KFT.,EmL-1020E,Főmotor,AiS 132,,"gyenge volt a főmotor, nem lehetet beállítani, illetve Economy gépre HPB motort tettünk inkább az Ügyfélnél","12.02.: járatás Rákosréti Józsinál, a motornak nincsen baja, rezgése 1 alatt van, hangja nincsen",,,,,,,,,,,
TH0050,0,M10219,2021.02.26.,,2021.03.18.,KOKILLA PREC KFT.,MM-800,"Főorsó 
Szerszámoldó munkahenger","CELLS 10.000 RPM 
SJATC","691001J116 
-",Főorsó + munkahenger felújítás,"Főorsó bontása, tisztítása;
Kúp köszörültetés, Tányérrugók, csapágyak cseréje
Munkahenger tömítéseinek cseréje ",-,Schmiedmeiszter P.,8 óra,Fűz Z.,"Csapágyak:
2 db FAG B7012-C-T-P4S-UL
2 db FAG B7011-E-T-P4S-UL
Tányérrugók:
56 db 34 x 16,3 x 2 rugó
Tömítések:
1 db KNA23 50 x 40 x 07 NBR75
1 db 43 x 3,5 NBR70
2 db KN/SN25 18 x 26 x 05/06
3 db 35 x 3,5 NBR70
2 db 3 x 2 NBR70
1 db 18 x 2,5 NBR70
2 db 95 x 2 NBR70
2 db 44,2 x 3 NBR70
1 db 87,2 x 5,7 NBR70
1 db 7,50 x 1,5 NBR70

Szíj:
1 db 775-5GT-40",-,"Losonczi, Seal Ring",,,,
TH0051,0,M17182,2021.03.01.,,2021.04.26.,DANTOM KFT.,EmL-800B,Főorsó,ROYAL 8.000 RPM,,Főorsó felújítás,"ÜF csere orsót kapott! (8.000 helyett 10.000-eset)
Bontás, tisztítás, orsókúp köszörültetése, tányérrugók cseréje, csapágyak cseréje",-,"Gulyás J., Schmiedmeiszter P.",20+8 óra,-,"Csapágyak:
4 db NSK 7012CTRSULP3
Tányérrugók:
88 db 31,5 x 16,3 x 2 DIN2093 rugóacél",-,"Losonczi, Tral Trade",,,,
TH0052,0,M19106,2021.03.03.,,2021.03.29.,JUHÁSZ SÁNDOR EV,EmL-510,Főorsó,ROYAL 8.000 RPM + 2 db Deublin,110924,"Főorsó felújítás, egyik Deublin átcsapágyazása","Bontás, tisztítás, a csapágy távtartó sérült, új gyártása szükséges, szíjtárcsa cserére szorul
A szíjtárcsát és a távtartót az ÜF legyártotta! Az orsótubust az ÜF módosította!
Csapágyak cseréje, tányérrugók cseréje, Deublin 1109 cseréje
Deublin 902: csapágyak cseréje",-,Schmiedmeiszter P.,16 óra,-, ,-,Tral Trade,"Bejött: főorsó, 2 db Deublin forgóátvezető (1 db 902-020-188, 1 db 1109-020-188)",,,
TH0053,0,M020133,2021.03.04.,,2021.03.26.,VERESZT FORGÁCSOLÓ KFT.,Euroturn-12,Főmotor,BAUMÜLLER DAF100,,"Főmotor csapágyas, menetzárlatos","ÜF cseremotort kapott. Eredeti motor bontása, tisztítása. Állórész tekercseltetése.
Motor készreszerelése újratekercseltetés után, új csapágyakkal. Motor festése, járatása",Jeladó cseréje,"Schmiedmeiszter P., Budai A.","Új: 8 + 2 óra
Régi: 6 + 4 óra",-,"Csapágyak:
1 db KOYO 6209 ZZ C3
1 db SKF 6306 ZZ C3
Szíj:
1 db 840-8M-30","Jeladó:
1 db HDH ERN 1380 1024 SIN",Liker Motors,"Bejött: főmotor (szíjtárcsával) 
Tekercselés ára: 158.000 Ft",,,
TH0054,0,M11161,2021.03.01.,,2021.04.12.,EFT ÉS TÁRSAI SZERSZÁMÉLEZŐ ÉS GYÁRTÓ KFT.,JCL-60AHD-CNC,Hajtott szerszám csoport,,,Hajtott szerszámmal ütközés,"Sérült alkatrészek átvizsgálása. Tengely, dugattyú, adapter cseréje, csapágyak cseréje, munkahenger tömítés cseréje, szíj cseréje",-,Schmiedmeiszter P.,4 óra,-,"Gyártás:
1 db 560123130 - Tengely
1 db 560122330 - Adapter TOEM 160
1 db 560122192 - Dugattyú
Keráru:
1 db 565-5M-25 fogazott szíj
2 db 6001-2RS1 csapágy
2 db 61906-2RS1 csapágy
3 db 15 x 2,5 O-gyűrű ",-,FÉMÓ,,,,
TH0055,0,M05239,2021.03.09.,,2021.04.01.,RÁBA FUTÓMŰ KFT.,TMV-1050A,"Főorsó 
Főmotor","- 
BAUMÜLLER DAF132 K A2315-5","- 
10503676",Főorsó házból ropogó hangok hallatszanak. Bármely fordulaton használjuk.,"Főorsó: orsó állapotfelmérése, bontása, alkatrészek megtisztítása
Főmotor: motor tisztítása, vizsgálata villamosan. A motor zárlatos, tekercseltetni szükséges!
Újratekercselt motor összeépítése új csapágyakkal, festés, járatás",Jeladó cseréje,"Budai A., Schmiedmeiszter P., Rákosréti J.",8 + 8 + 2 óra,-,"Csapágyak:
1 db SKF 6310 ZZ C3 (főmotor)
1 db SKF 6312 ZZ C3 (főmotor)
4 db 70BNR10STSUELP3 (főorsó)","Jeladó:
1 db HDH ERN1320 1024 TTL","Gördülő Simmering, Tral Trade, Liker Motors","Bejött: főorsó, főmotor 
Tekercselés ára: 111.000 Ft",,,
TH0056,0,M18126,2021.03.09,,2021.03.24.,HUONKER HUNGÁRIA KFT.,JSL-32ABMs,Ellenorsó,,,"az ellenorsó már alacsonyabb fordulatszámon járatva is visító hangot ad, kézzel forgatva csörög, használata az ellenorsó csapágyának cseréjéig nem javasolt","Bontás, tisztítás, csapágyak cseréje, összeépítés, járatás","Jeladó működésének ellenőrzése, motor járatóba bekötése, paraméterek betöltése","Gulyás J., Kendrik G.",16 + 2 óra,-,"Csapágyak:
2 db FAG B7013-C-T-P4S-UL
2 db FAG B7015-E-T-P4S-UL",-,Pannon Csapágy,"Bejött: ellenorsó
Átütést bírta",,,
TH0057,0,M05105,2021.03.16.,,2021.03.31.,PRO FORM KFT.,Kondia B-640,"Főorsó 
Főmotor","12.000 RPM 
HEIDENHAIN QAN-200U","- 
15 335 805 A","főorsó menesztői közül egy hiányzik, a meglévő törött, hiányos, javasolt ezek pótlása és főorsó kiegyensúlyozottság ellenőrzése","Főorsó: állapotfelmérés, bontás, tisztítás, csapágyak cseréje, tányérrugók cseréje, törött menesztődió cseréje, tömítések cseréje, kúpköszörülés, összeépítés, járatás
Főmotor: bontás, tisztítás, csapágyak cseréje, összeépítés, járatás ","Főmotor villamos vizsgálata, tekercs állapotának ellenőrzése;
Járatás
","Schmiedmeiszter P., Budai A., Rákosréti J.",8 óra + 4 óra + 8 óra,-,"Csapágyak:
2 db FAG HS7012-C-T-P4S-UL (főorsó)
2 db FAG HS7014-C-T-P4S-UL (főorsó)
1 db (1 pár) GMN S6208 C TXM P4 UL, (főmotor) 
1 db NSK 6206TCG12P4 (főmotor)
Tányérrugók:
56 db 31,5 x 16,3 x 2 DIN 2093
Egyéb:
1 db menesztődió 2. 00-10037694-00
",-,Losonczi,"Bejött: főorsó, főmotor",,,
TH0058,0,M15230,2021.03.16.,,2021.03.24.,KELET-SZERSZÁM KFT.,VD-510S,"Főorsó 
Főmotor","20.000 RPM 
SOLPOWER SVM-75L",,Főorsónak erősen bugó hangja van,"Főorsó: bontás, tisztítás, csapágyak cseréje, tányérrugók cseréje, tömítések cseréje, kúpot NEM kell köszörülni
Főmotor: ÜF cseremotort kapott (CTS kompatibilist) EREDETI motor: bontás, csapágyak cseréje, összeépítés, járatás, egyensúlyozás","Főmotor villamos vizsgálata, tekercs állapotának ellenőrzése;
jeladó működésének ellenőrzése","Budai A., Belencsák Á., Rákosréti. J.",8 + 2 + 2 óra,-,"Csapágyak:
4 db FAG HCS7008-C-T-P4S-UL (főorsó)
2 db 6205-2RSLTN9/C3VT162 SKF (főmotor)
Tányérrugók (főorsó):
88 db Tányérrugó / S4295 28x12,2x1,5 mm
O-gyűrűk (főorsó):
4 db 89,4 x 3,1 (G90)
",1 db csere motor,Plusz&Roll,"Bejött: főorsó, főmotor",,,
TH0059,0,M14057,2021.03.16.,,2021.03.29.,DUNA PRECIZIÓS KFT.,MM-760,"Főorsó 
Főmotor","CELLS 8.000 RPM 
HBP VM100L 8.000 RPM",,"valószínű főorsó csapágycsere lesz. Kérték, hogy tartósabb csapágy kerüljön bele, gyorsan egyeztettünk Izeli Józsival és a 60BNR10STSULP3 típust javasolta","Főorsó: tisztítás, bontás, csapágycsere, tányérrugó csere, szíjtárcsa cserét nem kérték, kúpköszörülést NEM kértek, orsó járatása
Főmotor: tisztítás, bontás, csapágycsere, szíjtárcsa cserét nem kérték, egyensúlyozás, járatás","Főmotor villamos vizsgálata, tekercs állapotának ellenőrzése;","Budai A., Schmiedmeiszter P., Kovács I., Rákosréti J.",6 + 8 + 1 + 2 óra,-,"Csapágyak:
4 db NSK 7012CTRSULP3 (főorsó)
1 db Csapágy / 6207 ZZC3 (főmotor)
1 db Csapágy / 6308 ZZC3 (főmotor)
Tányérrugók:
56 db tányérrugó 34 x 16,3 x 2
Tömítések:
4 db 109,4 x 3,1 (G110)
 ",1 db Tamagawa TTL 1024 (motor),"Gördülő Simmering (2VSZN2100540)
Tral Trade","Bejött: főorsó, főmotor (kapocsdoboz fedél nélkül)",,,
TH0060,0,M18155,2021.03.19.,,2021.03.26.,MÁTÉ-MARTENZIT KFT.,EmL-1020B 5TT-K,Körasztal,GSA CNCT-200R,18200CTR158,"elfolyt az olaj a körasztalból, látható a folyás, a fék hidraulika rendszerből is eltűnt reggel az olaj","Átvizsgálás, olajszivárgás helyének felkutatása; tömítések cseréje, összeépítés",-,Budai A.,2 óra,-,"Tömítések:
1 db O 167 x 5,7
1 db O 115 x 5,7
1 db O 65 x 3,2
1 db O 6 x 2,5",-,-,-,,,
TH0061,0,M14327,2021.03.22.,,2021.03.23.,AXICONT KFT.,MM-760,Főmotor,HPB VM100S 8.000 RPm,14052610E,Főmotor csapágyas,"Motor átvizsgálása: csapágyak cseréje, összeépítés, szíjtárcsa kiórázása, motor járatása",-,"Belencsák Á., Rákosréti J.",2 +1 óra,-,"Csapágyak:
- 1 db NSK 6306 ZZ (főmotor)
- 1 db SKF 6307 ZZ C3 (főmotor)",-,Gördülő Simmering,,,,
TH0062,0,M17181,2021.03.19.,,2021.05.18.,BMB BOROS MASCHINENBAU KFT.,MM-850SV,Főmotor,AiS 100LW-15-26H(D) átfúrt 15.000 RPM + csapágyhőmérséklet + Deublin(1109-020-188),CC2-10-4012,Motor zárlatos,"ÜF cseremotort kap: CC2-10-5051 
Eredeti motor lecsupaszítása, elszállítása FÉMÓ-ba. FÉMÓ: bontás.
Hibás tekercs átszállítása Dévaványára. Tekercselés.
Tekecselés után szállítás FÉMÓ-hoz. FÉMÓ összeépítés.
Visszaszállítás NCT-be. NCT-ben felszerelés, járatás, egyensúlyozás.
2021.05.18. K-Kart TMV-1050 főmotor cseredarab lett!","Kötődoboz átszerelése, jeladó cseréje","Budai A., Rákosréti J.",4 + 8 óra,-,"Csapágyak (régi motorhoz):
2 db SKF S7208 CDGA
Deublin (új motorhoz)
1 db 1109-020-188",,"FÉMÓ, Liker Motors",-,,,
TH0063,0,M20074,2021.03.23.,,2021.04.19.,ESZTERGOMI SZERSZÁMGÉPGYÁR KFT.,MZP-4,Motor,BAUMÜLLER DAF 132 K-23A20-5,,átvizsgálásra,"járatás, tisztítás, R2021/00349 alapján
hiánypótlás: kapocsdoboz fedelek (2 db), oldalsó szellőző rostélyok",Jeladó csatlakozó cseréje,"Budai A., Rákosréti J.",10 + 3 óra,-,-,Jeladó csatlakozó ház (könyök),-,-,,,
TH0064,0,M14165,2021.03.23.,,2021.03.29.,SANATMETAL KFT.,EmR-1200M-5HTA billenőfejes,Főorsó,MICROLAB M4-RMSC DIN40,,Motor kábelek megégtek,Orsómotor bontása; átvizsgálása,"Kábelek átvizsgálása, motor vezetékek cseréje szilikon borításúakra","Ginter E., Gulyás J.",4 óra,-,-,Szilikon bevonatos kábel (ér x keresztmetszet?),-,-,,,
TH0065,0,M10164,2021.03.24.,,2021.03.25.,DÖMÖTÖR ISTVÁN EV,Snupy 175,Revfej,SAUTER 0.5.480.516,,"revolverfej tárcsa kotyog, hátsó anya lelazulhatott?","revolverfej átvizsgálása, megbontása
Belső anya meghúzása",-,Budai A.,6 óra,-,-,-,-,-,,,
TH0066,0,M07158,2021.03.24.,,2021.04.16.,ADA-MET KFT.,EmL-610,Főorsó,ROYAL 8.000 RPM + Deublin 902-020-188,,Főorsó felújítás,"Főorsó: bontás, tisztítás, KÚPköszörülést nem kérték! csapágyak cseréje, tányérrugók cseréje, tömítések cseréje, Deublin cseréje.
Orsó járatása",-,Schmiedmeiszter P.,8 óra,-,"Csapágyak:
4 db FAG B7012-C-T-P4S-UL
Deublin:
1 db 904-020-188
Tányérrugók:
56 db 31,5 x 16,3 x 2 DIN2093
Szíj:
1 db 830-5GT-30
",-,"Losonczi, Pannon Csapágy",-,,,
TH0067,0,M11292;M18047,2021.03.30.,,2021.04.07.,VÖRÖS IPARI ÉS KERESKEDELMI KFT.,EMR-850B,Főorsó,8.000 RPM (8YU),,"folytatás: orsó + erőfokozó beazonosítása esetleges cserére (Még mielőtt megállna volna a gép.) A PLC 1674. sorába bekerült egy időzítő (200msec), hogy várakozzon a kar, hogy a főorsó biztosan elengedje a szerszámot.
Roli 03.25. most már egyáltalán nem engedi el a szerszámot a főorsó.","Szerszámoldás rugótekercsének kibontása, tányérrugók cseréje, tömítések cseréje, összeépítés
Munkahenger: ÜF új munkahengert kapott, a régi munkahenger tömítéseinek cseréje
Deublin: 1 db új, 902-120-188",-,Budai A.,4 óra,-,"1 db Hao Cheng pneumatikus szerszámoldó munkahenger szíjas gépekhez (felújított)
1 db Deublin 902-120-188
1 db 920-8YU-30 szíj
Tányérrugók:
56 db S4326 40x20,4x2,5 mm
Tömítések:
5 db O 33 x 2,5
2 db O 22 x 2,5
1 db O 20 x 2,5
",-,-,-,,,
TH0068,0,M15248;M10139,2021.04.28.,,2021.05.12.,HAJDU AUTOTECHNIKA IPARI ZRT.,EmR-1200D,Főorsó,ROYAL 10.000 RPM,133400,"gépünk 2020.09.28.-án történt karbantartásakor Kovács Péter és Fejes Attila megállapította a gépen, hogy a főorsó ütése 0,1 mm","Főorsó: bontás, tisztítás, KÚPköszörülés kell! Csapágycsere, tányérrugó csere, összeépítés, járatás",-,Budai A.,10 óra,-,"Csapágyak:
4 db HS7014-C-T-P4S-UL
Tányérrugók:
 56 db S4326 40x20,4x2,5 mm
Tömítések:
4 db G140 (139,4 x 3,1)
Egyéb:
1 db Pneumatika / T-elosztó, egyik ágán G3/8""-2xD10 push-in
1 db Rotex GS38 zöld kuplung csillag",-,"Losonczi Innovation, Pannon Csapágy",-,,,
TH0069,0,M20142/M15280,2021.04.09.,,2021.04.20.,KLIMEX MEDICAL KFT.,BNC-446,Revfej,LS-120,,LS revolverfej kiépítés,"LS-120 hidraulikus revolverfej kiépítése; hidraulika csövezés kialakítása, hajlítása, burkolat szükséges módosítása","Vezérlőcsere 304-esre, hidraulika táp elektromos bekötése villamos szekrénybe, revolverfej elektromos bekötése","Budai A., Tóth I., Tóth V.",56 + 50 + 40 óra (Viktorét még egyeztetni),-,,,,,,,
TH0070,0,M14165,2021.04.09.,,2021.05.13.,SANATMETAL KFT.,EmR-1200M-5HTA billenőfejes,Főorsó,MICROLAB M4-RMSC DIN40,,orsómotor leégett,"Orsómotor zárlat jeleit mutatja. Tekercseltetés Dévaványán.
Újratekercselt motor összeépítés. Járatás.",Tekercseltetés,"Gulyás J., Simon Z.",14 óra,-,-,-,Liker Motors,-,,,
TH0071,0,M10219,2021.04.13.,,2021.04.20.,KOKILLA PREC KFT.,MM-800,Főmotor,DAF100 főmotor,,Csapágyas,"Főmotor tisztítása, bontása, tisztítása belülről, hőkamrában szárítás, csapágyak cseréje, összeépítés, jeladó cseréje, járatás, egyensúlyozás, festés","Jeladó cseréje, motor járatása","Schmiedmeiszter P., Rákosréti J.",6 + 2 óra,-,"Csapágyak:
1 db 6209 ZZ C3
1 db 6306 ZZ C3","Jeladó:
1 db HDH ERN1320 TTL",Gördülő Simmering,,,,
TH0072,0,M15230,2021.04.14.,,2021.05.13.,KELET-SZERSZÁM KFT.,VD-510S,"Főorsó 
Főmotor","20.000 RPM 
SOLPOWER SVM-75L",,Főmotor zárlat jeleit mutatja,"Előző javításkor behozott motor beszerelése (az csapágyazva volt), a zárlatos motort elküldjük tekercselésre",,,,,,,,,,,
TH0073,2,M12004,2021.04.15.,,,GOODWILL-TRADE KFT.,EmL-1020D,Főmotor,AiS 132-LW 08-15 H (Y),,klímaolaj folyás,"motor kiküldése Csapó Úrhoz, az állórész visszaérkezett, 2021.12.01.: megy tovább Juhász Úrhoz",,,,,,,,,,,
