SZÉV igény szám,Státusz,Felelős,Igény dátuma,"KÓDOK: 
ÁA (csak árajánlat kérés)
R (rendelés)
PÜ (utalásra vár)
GY (gyártás alatt)
U (úton van)",Gépállás,Teljesítés dátuma,Áttárolás / Betárolás száma,Munkaszám,Megrendelő,Géptípus,Beszállító,Igény,Megjegyzés,Mennyiség,Igénylő,IMP megjegyzés,GYE megjegyzés,SZÉV megjegyzés
SZÉV2025-083,TRUE,IMP,02.26,U,1,2025.04.24.,BET2025/01413,M07271,SZŰCS JÓZSEF EV,MCV-1300,Manford,"Gyártó: MANFORD
Géptípus: MCV-1300
Gyári szám (M szám): 07193 (M06270)
Igény: Szerszámcserélőkar",,1 db,AA,,,
SZÉV2025-084,TRUE,GYE,02.27,R,,,,M18169,MAGYARMET KFT.,MXS-650DD,,Deublin 1114-020-188,Csatolt email/fotó,1 db,PI,,,
SZÉV2025-085,TRUE,GYE,02.27,Á  ,,2025.03.03.,,M11174,Bognár kft,EML-610,,Az EML610-es marógép levegő előkészítő egység,,1 db,ZSP,,,
SZÉV2025-086,TRUE,GYE,02.28,R,,,,,Szerviz Raktár,,,"Pillanat ragasztó
8-as szerelő kesztyű 
Menetrögzítő Loctite
Vágókorong, D:115 mm/ 1 mm
Gyorskötöző 200-as-250-es
Füldugó 
Géprongy",Csatolt Email,"5 db 
12 db
5 db
10 db
2-2 csomag
20 pár
2 zsák",AL,,SZÉV intézi magának,
SZÉV2025-087,FALSE,ERA,02.28,R,,,,,NCT Akadémia,Tomill-250,,GY6.35 24V AC izzó,email,3 db,PI,,,
SZÉV2025-088,TRUE,ERA,02.28,R,,2025.04.10.,BET2025/01238,,Szimikron,EEN-400,,SN02D08-552-M ,,1,ZSP,,,
SZÉV2025-089,TRUE,GYE,03.03.,R,,,,,Fejes Attila,,,3-as menetfúró,Csatolt email.,2 db,AL,,Teljesítve,
SZÉV2025-090,TRUE,LOG,03.03,R,,2025.03.04.,2025/000000336,M18155,SZERVIZ Raktár,EmL-1020B,,Ai8-54-30-EH/M-Z2 NCT szinkron szervomoto,,1 db,ZSP,,,
SZÉV2025-091,TRUE,GYE,02.28,R,1,2025.03.03.,,M19037,Heavenly Trade,EmB-2004D,,X energialánc,,1 db,PI,,,
SZÉV2025-092,TRUE,ERA,03.04,R,,2025.03.06.,2025/000000347,,Szerviz Raktár,,,"5 x 1,5 kábel a járatóhoz S. petinek.+ raktárra","0,75 jött nincs más",20 m,AL,,,
SZÉV2025-093,TRUE,GYE,03.04.,Á  ,,,,,ZEISS,EEN-400,,X tengely golyósorsó,,1db,ZSP,,Teljesítve,
SZÉV2025-094,TRUE,GYE,03.04,R,,2025.03.10.,,M07066,GYURÓ TECHNIK KFT.,K-HM2010,,"visszacsapó szelep nagynyomású rendszerhez 3/8"" , 1/4"", 1/2""",email,1-1 db,PI,,,
SZÉV2025-095,TRUE,GYE,03.04.,R,1,2025.03.06.,2025/000000339,M23156,VESZPRÉMI SZAKKÉPZÉSI CENTRUM 192101,TCFM-100,,csapágy FAG B7207-E-T-P4S-UL vagy kiváltó,email,2 db,PI,,,
SZÉV2025-096,TRUE,GYE,03.04.,Á  ,,,,M17137,VÁMOSGÉP,WFQ-80,,"Szeretnék árajánlatot kérni a mellékletben lévő motorra és külön a hajtóműre. A motor és hajtómű a 8-s megmunkáló robot ajtaját nyitja.

Hajtómű: 80XG03-ZYC
Motor: ",Csatolt email/fotó,1 klt.,ZSP,,ÜF-re vár,
SZÉV2025-097,TRUE,GYE,03.06.,R,,,,,ARZENÁL,4db DUAL-65LY ,,Munkadarab lefuvató egység telepítése,,4klt,ZSP,,,
SZÉV2025-098,TRUE,IMP,03.06.,Á  ,,,,,SCHUNK,ELUMATEC,,SBZ 130 pneumatikus munkahenger,ÜF intézi,1 db,ZSP,,,
SZÉV2025-099,TRUE,LOG,03.07.,R,1,2025.03.07.,2025/000000362,M18155,Máté-Martenzit,EmL-1020B-5TT-K,,Ai8-54-30-EH/M-Z2 NCT szinkron szervomoto,email,1 db,PI,,,
SZÉV2025-100,TRUE,IMP,03.07.,U,,2025.07.08.,BET2025/02229,M13058,EL-ZET spol sr.o.,MM-760,Buffalo,Tárforgató tengely,email/fotó/rajz,1 db,PI,https://www.tnt.com/express/hu_hu/site/shipping-tools/tracking.html?searchType=CON&cons=182919047,,
SZÉV2025-101,TRUE,IMP,03.07.,U,,2025.07.08.,BET2025/02229,-,SZÉV,MM-760,Buffalo,Tárforgató csigatengely,email/fotó/rajz,3 db,PI,https://www.tnt.com/express/hu_hu/site/shipping-tools/tracking.html?searchType=CON&cons=182919047,,
SZÉV2025-102,TRUE,IMP,03.10,Á  ,,ÜF nem kéri,,,PLES ZRT,EMB 1105B,Manford,Forgácsvédő vezető görgő,email/fotó/rajz,1set,ZSP,SZÉVre vár,,
SZÉV2025-103,TRUE,GYE,03.12.,R,,2025.03.13.,2025/000000377,,BEST-TOOLS Kft+ Szerviz raktár,20000 rpm,,"10-10006139-00,Csapágy / 40BNR10STSUELP3",Csatolt email,8 db/4 db érkezett,AL,,,
SZÉV2025-104,TRUE,GYE,03.12,R,,,,M07281,HBMI,EmL-1020,, szerszámtár rugó   2x8x59x202 mm MT420041,Csatolt email,5,ZSP,,Nem értelmezhető az igény,
SZÉV2025-105,TRUE,IMP,03.14.,R,,2025.08.29.,BET2025/02785,M11110,TRIMBLE,VD-510S (1000109),Manford,Z Forgácsvédő burkolat,Csatolt email/fotó,1 db,ZSP,"Ignác 2025. jún. 20. 7:33: repülővel kéri ÜF: Magyarmet
Proforma ITT",,"07.16. AA: A Fogarasin lévő VD-510 vezetékvédő felhasználható, oda kell majd visszapótolni."
SZÉV2025-106,FALSE,ERA,03.14.,R,,,,M23168,MSK,EM-1500,,Telemecanique XCSTE5311 ajtóretesz,email,2 db,PI,,,
SZÉV2025-107,TRUE,GYE,03.17.,R,,2025.03.21.,,-,-,-,,"Tapintócsúcs 3D éltapintó készülékhez Cikkszám: 85290102
https://cuttingtools.ceratizit.com/hu/hu/products/85290102.html#selectorFilters/_f-ISO_DG%3AMM%3A%3A/4%3A%3A%3A%3A%3A/",email,1db,PI,,,
SZÉV2025-108,TRUE,IMP,03.18.,U,,2025.07.29.,BET2025/02528,M21108,MGK 2000 KFT.,TCS-2000L,TongTai,Z tengely rugalmas burkolat,email,1 db,PI,SZR2025/01556 ÜF hajóval kéri,,vkivel cooperálni induló gépek mellett vagy LCL
SZÉV2025-109,TRUE,GYE,03.19.,R,,2025.04.10.,BET2025/01253,,Szimikron,,,Kerámia biztosítékok,email,21,ZSP,,,
SZÉV2025-110,TRUE,GYE,03.20.,R,,2025.04.02.,2025/000000467,M19095,MAGYARMET KFT.,GD-5DT,,INA ZARF 3080-L-TV-A,email,1,PI,,,
SZÉV2025-111,TRUE,GYE,03.21.,R,,2025.03.24.,2025/000000420,SZÉV,SZÉV,SZÉV,,FAG 6204 2ZR,email,2,PI,,,
SZÉV2025-112,TRUE,GYE,03.21.,R,,2025.03.24.,2025/000000420,SZÉV,SZÉV,SZÉV,,FAG 6205 2ZR,email,2,PI,,,
SZÉV2025-113,TRUE,GYE,03.24.,Á  ,,2025.03.24.,,SZÉV,Májer Attila,EEN-4001,,Törlő készlet,email,1,ZSP,,,
SZÉV2025-114,TRUE,ERA,03.25.,R,,2025.05.26.,Nincs,,Szerviz Raktár,,,"0,75-ös érvéghüvely
0,5-ös érvéghüvely
Csúszósaru, piros, keskeny",Csatolt email/fotó,3-3-3 csomag,AL,,,
SZÉV2025-115,TRUE,IMP,03.27.,PÜ,,2025.06.02.,BET2025/01899,,Szerviz Raktár,,Manford,"10-00032952-00, Tartalék / Mindman mágnesszelep / MVSC-220-4E1
10-00032953-00, Tartalék / Mindman mágnesszelep / MVSC-300-4E1",Csatolt email,"5 db
5 db",AL,https://www.tnt.com/express/hu_hu/site/shipping-tools/tracking.html?searchType=CON&cons=164416162,,
SZÉV2025-116,TRUE,GYE,03.28.,,,2025.04.07.,BET2025/01264,,Szerviz Raktár,AiS100,,ROTEX GS38 kuplungcsillag,Csatolt email,3 db,ZSP,,,
,FALSE,,,,,,,,,,,,,,,,,
SZÉV2025-116,TRUE,GYE,03.28.,R,,2025.05.26.,BET2025/01687,,Szerviz Raktár,,,"Csapágy / 6204 2RS, 10-10001059-00",Csatolt email,6 db/10 db érkezett/10-01000038-00,AL,,rendelésre vár,
SZÉV2025-117,TRUE,IMP,03.31.,Á,,ÜF nem kéri,,M17130,Székely-94 BT. /SZÉV,Smart-42,JinnFa,Jia Cheng motor 80M,Csatolt email/fotó,1 db,PI,IMP frissítés,,
SZÉV2025-118,TRUE,IMP,03.31.,Á,,ÜF nem kéri,,M17130,Székely-94 BT. /SZÉV,Smart-42,JinnFa,Yuken SVPF-20-35-20T451,Csatolt email/fotó,1 db,PI,IMP frissítés,,
SZÉV2025-119,FALSE,LOG,03.31.,R,,,,,Szerviz Raktár,,,"M24x1,5 anya BALOS felső (AiS 100 - Labirintgyűrűs jeladófedél PT öá.), 00-70045709-00",Csatolt email,5 db,AL,,,
SZÉV2025-120,TRUE,GYE,03.31.,R,,2025.04.25.,2025/000000565,,Szerviz Raktár,,,"Távtartó-10 (AiS100), 00-70050319-01",Csatolt email,15 db/31 db-érkezett,AL,,,
SZÉV2025-121,TRUE,IMP,03.31.,Á,,,,M06029,SZÉV,Euromill-1000,East Lion,Z GOLYÓSORSÓ ÁRAJÁNLAT,Csatolt email,1 db,ZSP,"ÁA itt, ÜF-re vár","Ignác 2025. júl. 8., K, 17:11 lezárható",
SZÉV2025-122,TRUE,GYE,03.31.,R,,,,-,SZÉV,-,,BT-30 tárbeállító,email,1 db,PI,,Babett,
SZÉV2025-123,TRUE,IMP,03.31.,U,,2025.08.18.,BET2025/02659,,Csaba-Berényi,BMC-2616,KAFO,"Árajánlatot kérek az üzemünkben található KAFO-NCT BMC-2616 típusú,
P20010 gyári számú (760428) marógép tolóajtajához tartozó görgőkre.
",email,2 KÉSZLET,ZSP,+ 1 klt tartalék  Proforma itt,,KAFOt sürgetni! 
SZÉV2025-124,TRUE,GYE,04.01.,R,,2025.04.10.,2025/000000506,,SZÉV,MSL-200,,Munkatér lámpa és hűtőfolyadék szűrő,email/munkatér lámpa megérkezett.,1 db,ZSP,,,
SZÉV2025-125,TRUE,IMP,04.03.,Á,,2025.05.13.,BET2025/01571,M19095,MAGYARMET KFT.,GD-5DT,Baruffaldi,TBMA-200 alkatrészek és tömítés készlet,email/rajz,1 db,PI,,,
SZÉV2025-126,TRUE,GYE,04.03.,R,,2025.06.20.,2025/000000806,,Szerviz Raktár,,,"10-00003525-10, Kuplung / Rotex GS 24 piros  kuplung rugalmas fogaskoszorú (csillag)",Csatolt email,4 db/2 db érkezett,AL,,Rendelésre vár,
SZÉV2025-127,TRUE,ERA,04.04.,R,,2025.05.26.,2025/000000668,,Szerviz Raktár,,,"Mágneskapcsoló / Schneider LC1-D50AP7 mágneskapcsoló (22kW; 1NO; 1NC), 20-00001507-00
Kismegszakító / Schneider-iC60N-3P 40A-6kA (3C-40)A9F04340 A9, 20-00002721-00
Mágneskapcsoló / Schneider LC1-D18P7 mágneskapcsoló (7.5kW; 1NO; 1NC), 20-00001503-00
Kapcsoló / ELR W3-24V DC/500AC-2I irányváltó kapcsoló (2297031), 20-00003505-00",Csatolt email,"2 db
2 db
2 db
2 db",AL,,,
